,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration_old,draw_duration_new,trial_duration,mean_intensity,bounding_box,filename
0,cdm_run_v71571422086113,2,shape,age10,1571422144284.0,2019-10-18T18:09:04.284Z,1,0.0,0.058,4.652,0.012356505102040817,"(9, 214, 111, 150)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/shape_sketch_age10_cdm_run_v71571422086113.png
1,cdm_run_v71571422086113,3,this square,age10,1571422157236.0,2019-10-18T18:09:17.236Z,2,6.819,11.01,6.509,0.016661352040816327,"(58, 165, 67, 150)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/this square_sketch_age10_cdm_run_v71571422086113.png
2,cdm_run_v71571422552856,1,square,age2,1571422731113.0,2019-10-18T18:18:51.113Z,4,16.312,19.182,23.313,0.02138472576530612,"(58, 177, 64, 168)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/square_sketch_age2_cdm_run_v71571422552856.png
3,cdm_run_v71571422552856,2,shape,age2,1571422742606.0,2019-10-18T18:19:02.606Z,1,0.0,3.946,6.528,0.010044642857142858,"(12, 223, 102, 117)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/shape_sketch_age2_cdm_run_v71571422552856.png
4,cdm_run_v71571422552856,3,this square,age2,1571422758945.0,2019-10-18T18:19:18.945Z,2,0.379,6.348,9.889,0.054587850765306124,"(76, 195, 34, 192)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/this square_sketch_age2_cdm_run_v71571422552856.png
5,cdm_run_v71571422552856,4,a face,age2,1571422776270.0,2019-10-18T18:19:36.270Z,8,6.803,7.432,9.936,0.03651147959183673,"(24, 213, 100, 223)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a face_sketch_age2_cdm_run_v71571422552856.png
6,cdm_run_v71571422552856,5,a spider,age2,1571422799179.0,2019-10-18T18:19:59.179Z,14,10.669,11.567,15.091,0.06020806760204082,"(34, 211, 61, 217)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a spider_sketch_age2_cdm_run_v71571422552856.png
7,cdm_run_v71571423715860,1,square,age2,1571423773779.0,2019-10-18T18:36:13.779Z,5,4.553,14.421,23.844,0.016840720663265307,"(64, 169, 58, 160)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/square_sketch_age2_cdm_run_v71571423715860.png
8,cdm_run_v71571423715860,2,shape,age2,1571423808883.0,2019-10-18T18:36:48.883Z,9,11.588,22.159,30.151,0.02841996173469388,"(12, 199, 34, 142)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/shape_sketch_age2_cdm_run_v71571423715860.png
9,cdm_run_v71571423715860,3,this square,age2,1571423840842.0,2019-10-18T18:37:20.842Z,4,3.174,16.499,23.572,0.030811543367346938,"(24, 202, 16, 186)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/this square_sketch_age2_cdm_run_v71571423715860.png
10,cdm_run_v71571423715860,4,a mushroom,age2,1571423872963.0,2019-10-18T18:37:52.963Z,5,18.15,20.183,25.047,0.02188297193877551,"(13, 223, 30, 168)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a mushroom_sketch_age2_cdm_run_v71571423715860.png
11,cdm_run_v71571423715860,5,a bee,age2,1571423909638.0,2019-10-18T18:38:29.638Z,10,22.535,25.149,30.122,0.017697704081632654,"(9, 175, 22, 130)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a bee_sketch_age2_cdm_run_v71571423715860.png
12,cdm_run_v71571423715860,6,a hand,age2,1571423950231.0,2019-10-18T18:39:10.231Z,7,20.293,20.941,28.4,0.01877391581632653,"(16, 153, 57, 168)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a hand_sketch_age2_cdm_run_v71571423715860.png
13,cdm_run_v71571423715860,7,a clock,age2,1571423987822.0,2019-10-18T18:39:47.822Z,9,15.687,28.138,30.786,0.03669084821428571,"(0, 217, 12, 178)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a clock_sketch_age2_cdm_run_v71571423715860.png
14,cdm_run_v71571423715860,8,an octopus,age2,1571424016299.0,2019-10-18T18:40:16.299Z,8,12.944,13.703,17.755,0.021424585459183673,"(9, 148, 16, 178)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/an octopus_sketch_age2_cdm_run_v71571423715860.png
15,cdm_run_v71571423715860,9,a spider,age2,1571424054239.0,2019-10-18T18:40:54.239Z,9,19.192,25.757,30.118,0.0274234693877551,"(13, 175, 25, 204)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a spider_sketch_age2_cdm_run_v71571423715860.png
16,cdm_run_v71571423715860,10,a piano,age2,1571424087803.0,2019-10-18T18:41:27.803Z,9,15.395,16.849,24.537,0.020746970663265307,"(46, 177, 21, 180)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a piano_sketch_age2_cdm_run_v71571423715860.png
17,cdm_run_v71571423715860,11,a face,age2,1571424114536.0,2019-10-18T18:41:54.536Z,8,16.175,16.317,19.313,0.03437898596938776,"(6, 163, 33, 196)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a face_sketch_age2_cdm_run_v71571423715860.png
18,cdm_run_v71571424134037,1,square,age6,1571424182293.0,2019-10-18T18:43:02.293Z,1,0.0,1.716,7.23,0.022261639030612245,"(60, 174, 42, 166)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/square_sketch_age6_cdm_run_v71571424134037.png
19,cdm_run_v71571424134037,2,shape,age6,1571424201827.0,2019-10-18T18:43:21.827Z,1,0.0,10.452,14.56,0.03186782525510204,"(9, 210, 36, 147)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/shape_sketch_age6_cdm_run_v71571424134037.png
20,cdm_run_v71571424134037,3,this square,age6,1571424214460.0,2019-10-18T18:43:34.460Z,1,0.0,2.938,6.187,0.01588408801020408,"(64, 162, 60, 148)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/this square_sketch_age6_cdm_run_v71571424134037.png
21,cdm_run_v71571424134037,4,a mushroom,age6,1571424236125.0,2019-10-18T18:43:56.125Z,1,0.0,5.664,14.625,0.014329559948979591,"(72, 165, 87, 154)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a mushroom_sketch_age6_cdm_run_v71571424134037.png
22,cdm_run_v71571424134037,5,a face,age6,1571424272755.0,2019-10-18T18:44:32.755Z,11,20.159,24.993,27.826,0.09805484693877552,"(51, 183, 0, 198)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a face_sketch_age6_cdm_run_v71571424134037.png
23,cdm_run_v71571424134037,6,an octopus,age6,1571424298566.0,2019-10-18T18:44:58.566Z,9,9.742,16.664,17.938,0.03812579719387755,"(61, 187, 33, 159)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/an octopus_sketch_age6_cdm_run_v71571424134037.png
24,cdm_run_v71571424134037,7,a bee,age6,1571424323982.0,2019-10-18T18:45:23.982Z,12,14.886,16.161,18.863,0.024952168367346938,"(67, 138, 49, 147)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a bee_sketch_age6_cdm_run_v71571424134037.png
25,cdm_run_v71571424134037,8,a spider,age6,1571424347617.0,2019-10-18T18:45:47.616Z,12,11.686,12.751,15.784,0.030113998724489797,"(100, 186, 46, 156)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a spider_sketch_age6_cdm_run_v71571424134037.png
26,cdm_run_v71571424134037,9,a hand,age6,1571424364964.0,2019-10-18T18:46:04.964Z,2,7.403,7.93,10.303,0.017717633928571428,"(49, 165, 79, 145)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a hand_sketch_age6_cdm_run_v71571424134037.png
27,cdm_run_v71571424134037,10,a clock,age6,1571424388852.0,2019-10-18T18:46:28.852Z,11,12.928,14.363,17.081,0.032126913265306124,"(54, 174, 48, 156)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a clock_sketch_age6_cdm_run_v71571424134037.png
28,cdm_run_v71571424134037,11,a piano,age6,1571424414323.0,2019-10-18T18:46:54.323Z,14,13.209,15.468,18.663,0.03089126275510204,"(99, 166, 16, 168)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a piano_sketch_age6_cdm_run_v71571424134037.png
29,cdm_run_v71571424425982,1,square,age3,1571424467905.0,2019-10-18T18:47:47.904Z,2,0.959,4.943,9.42,0.02000956632653061,"(55, 171, 54, 165)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/square_sketch_age3_cdm_run_v71571424425982.png
30,cdm_run_v71571424425982,2,shape,age3,1571424486562.0,2019-10-18T18:48:06.562Z,1,0.0,9.958,13.68,0.030951052295918366,"(15, 205, 30, 148)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/shape_sketch_age3_cdm_run_v71571424425982.png
31,cdm_run_v71571424425982,3,this square,age3,1571424498755.0,2019-10-18T18:48:18.755Z,1,0.0,3.296,5.749,0.019331951530612245,"(54, 159, 43, 162)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/this square_sketch_age3_cdm_run_v71571424425982.png
32,cdm_run_v71571424425982,5,a face,age3,1571424543979.0,2019-10-18T18:49:03.979Z,4,1.566,3.519,5.768,0.03037308673469388,"(18, 208, 54, 183)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a face_sketch_age3_cdm_run_v71571424425982.png
33,cdm_run_v71571425266566,1,square,age6,1571425334628.0,2019-10-18T19:02:14.628Z,1,0.0,2.18,30.165,0.021524234693877552,"(34, 160, 37, 165)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/square_sketch_age6_cdm_run_v71571425266566.png
34,cdm_run_v71571426140960,2,shape,age2,1571426234198.0,2019-10-18T19:17:14.198Z,1,0.0,6.157,11.778,0.054368622448979595,"(0, 189, 51, 174)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/shape_sketch_age2_cdm_run_v71571426140960.png
35,cdm_run_v71571426140960,3,this square,age2,1571426245878.0,2019-10-18T19:17:25.878Z,1,0.0,1.804,5.235,0.042071906887755105,"(9, 141, 31, 199)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/this square_sketch_age2_cdm_run_v71571426140960.png
36,cdm_run_v71571426140960,4,a mushroom,age2,1571426256939.0,2019-10-18T19:17:36.939Z,1,0.0,1.504,3.968,0.05307318239795918,"(55, 207, 0, 223)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a mushroom_sketch_age2_cdm_run_v71571426140960.png
37,cdm_run_v71571426140960,5,a clock,age2,1571426266881.0,2019-10-18T19:17:46.881Z,3,1.193,1.207,3.153,0.04673549107142857,"(52, 202, 0, 223)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a clock_sketch_age2_cdm_run_v71571426140960.png
38,cdm_run_v71571426303380,1,square,age4,1571426339170.0,2019-10-18T19:18:59.170Z,2,0.805,0.877,3.939,0.007294323979591837,"(33, 111, 18, 133)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/square_sketch_age4_cdm_run_v71571426303380.png
39,cdm_run_v71571426303380,2,shape,age4,1571426346691.0,2019-10-18T19:19:06.691Z,8,0.727,0.735,2.569,0.0,"(0, 0, 0, 0)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/shape_sketch_age4_cdm_run_v71571426303380.png
40,cdm_run_v71571426408710,1,square,age2,1571426464022.0,2019-10-18T19:21:04.022Z,6,6.286,6.384,10.013,0.02264030612244898,"(67, 195, 0, 160)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/square_sketch_age2_cdm_run_v71571426408710.png
41,cdm_run_v71571426408710,2,shape,age2,1571426473247.0,2019-10-18T19:21:13.247Z,6,0.583,0.608,4.279,0.00045838647959183676,"(154, 160, 102, 105)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/shape_sketch_age2_cdm_run_v71571426408710.png
