,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration_old,draw_duration_new,trial_duration,mean_intensity,bounding_box,filename
0,cdm_run_v61562692231070,1,square,age3,1562692282417.0,2019-07-09T17:11:22.417Z,7,3.757,4.925,9.552,0.05644132653061224,"(40, 171, 36, 223)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/cdm_run_v6/sketches_full_dataset/square_sketch_age3_cdm_run_v61562692231070.png
1,cdm_run_v61562692231070,2,shape,age3,1562692302280.0,2019-07-09T17:11:42.280Z,7,3.716,9.862,14.38,0.054807079081632654,"(10, 205, 54, 223)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/cdm_run_v6/sketches_full_dataset/shape_sketch_age3_cdm_run_v61562692231070.png
2,cdm_run_v61562692231070,3,this square,age3,1562692323760.0,2019-07-09T17:12:03.760Z,4,3.576,8.229,14.492,0.048509247448979595,"(0, 223, 0, 223)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/cdm_run_v6/sketches_full_dataset/this square_sketch_age3_cdm_run_v61562692231070.png
3,cdm_run_v61562692231070,4,a book,age3,1562692342081.0,2019-07-09T17:12:22.081Z,4,0.291,4.012,11.561,0.06995376275510204,"(0, 192, 0, 223)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/cdm_run_v6/sketches_full_dataset/a book_sketch_age3_cdm_run_v61562692231070.png
4,cdm_run_v61562694683179,2,shape,age3,1562694745304.0,2019-07-09T17:52:25.304Z,22,16.712,16.785,19.532,0.0284000318877551,"(6, 187, 82, 142)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/cdm_run_v6/sketches_full_dataset/shape_sketch_age3_cdm_run_v61562694683179.png
5,cdm_run_v61562694683179,3,this square,age3,1562694764282.0,2019-07-09T17:52:44.282Z,8,6.052,6.204,12.279,0.020208864795918366,"(49, 198, 63, 151)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/cdm_run_v6/sketches_full_dataset/this square_sketch_age3_cdm_run_v61562694683179.png
6,cdm_run_v61562694683179,4,a snail,age3,1562694795953.0,2019-07-09T17:53:15.953Z,8,7.902,8.495,24.111,0.05492665816326531,"(16, 202, 16, 211)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/cdm_run_v6/sketches_full_dataset/a snail_sketch_age3_cdm_run_v61562694683179.png
7,cdm_run_v61562694683179,5,an elephant,age3,1562694819643.0,2019-07-09T17:53:39.643Z,5,10.469,12.17,16.101,0.04097576530612245,"(24, 223, 76, 198)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/cdm_run_v6/sketches_full_dataset/an elephant_sketch_age3_cdm_run_v61562694683179.png
8,cdm_run_v61562694683179,6,a horse,age3,1562694845735.0,2019-07-09T17:54:05.735Z,7,13.394,13.722,19.219,0.03860411352040816,"(12, 175, 51, 201)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/cdm_run_v6/sketches_full_dataset/a horse_sketch_age3_cdm_run_v61562694683179.png
9,cdm_run_v61562694683179,7,a TV,age3,1562694880387.0,2019-07-09T17:54:40.387Z,10,16.763,16.986,26.548,0.03691007653061224,"(0, 207, 12, 223)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/cdm_run_v6/sketches_full_dataset/a TV_sketch_age3_cdm_run_v61562694683179.png
