"","X1","session_id","trial_num","category","age","submit_time","submit_date","num_strokes","draw_duration_old","draw_duration_new","trial_duration","mean_intensity","bounding_box","filename","fileNameShort","fullPath","age_numeric","fileNameShortNew","version"
"1",1,"cdm_run_v31525887854758",0,"square","age6",1525888044823,2018-05-09 17:47:24,1,0,NA,NA,0.0216238839285714,"(57, 165, 42, 157)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age6_cdm_run_v31525887854758.png","square_sketch_age6_cdm_run_v31525887854758.png","sketches_full_dataset/square/square_sketch_age6_cdm_run_v31525887854758.png",6,"",1
"2",2,"cdm_run_v31525887854758",1,"shape","age6",1525888061964,2018-05-09 17:47:41,1,0,NA,NA,0.0344188456632653,"(0, 205, 36, 148)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age6_cdm_run_v31525887854758.png","shape_sketch_age6_cdm_run_v31525887854758.png","sketches_full_dataset/shape/shape_sketch_age6_cdm_run_v31525887854758.png",6,"",1
"3",3,"cdm_run_v31525887854758",2,"this circle","age6",1525888070941,2018-05-09 17:47:50,1,0,NA,NA,0.018913424744898,"(46, 171, 58, 156)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age6_cdm_run_v31525887854758.png","this circle_sketch_age6_cdm_run_v31525887854758.png","sketches_full_dataset/this circle/this circle_sketch_age6_cdm_run_v31525887854758.png",6,"circle_sketch_age6_cdm_run_v31525887854758.png",1
"4",27,"cdm_run_v31525891955621",1,"shape","age6",1525892090635,2018-05-09 18:54:50,1,0,NA,NA,0.0336814413265306,"(16, 208, 42, 151)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age6_cdm_run_v31525891955621.png","shape_sketch_age6_cdm_run_v31525891955621.png","sketches_full_dataset/shape/shape_sketch_age6_cdm_run_v31525891955621.png",6,"",1
"5",28,"cdm_run_v31525891955621",2,"this circle","age6",1525892104150,2018-05-09 18:55:04,1,0,NA,NA,0.0234773596938776,"(40, 198, 43, 180)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age6_cdm_run_v31525891955621.png","this circle_sketch_age6_cdm_run_v31525891955621.png","sketches_full_dataset/this circle/this circle_sketch_age6_cdm_run_v31525891955621.png",6,"circle_sketch_age6_cdm_run_v31525891955621.png",1
"6",37,"cdm_run_v31525893174061",0,"square","age2",1525893202577,2018-05-09 19:13:22,1,0,NA,NA,0.0218630420918367,"(61, 162, 61, 163)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age2_cdm_run_v31525893174061.png","square_sketch_age2_cdm_run_v31525893174061.png","sketches_full_dataset/square/square_sketch_age2_cdm_run_v31525893174061.png",2,"",1
"7",38,"cdm_run_v31525893174061",1,"shape","age2",1525893219440,2018-05-09 19:13:39,1,0,NA,NA,0.0316286670918367,"(10, 202, 37, 153)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age2_cdm_run_v31525893174061.png","shape_sketch_age2_cdm_run_v31525893174061.png","sketches_full_dataset/shape/shape_sketch_age2_cdm_run_v31525893174061.png",2,"",1
"8",39,"cdm_run_v31525893174061",2,"this circle","age2",1525893232996,2018-05-09 19:13:52,1,0,NA,NA,0.0270647321428571,"(33, 181, 7, 186)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age2_cdm_run_v31525893174061.png","this circle_sketch_age2_cdm_run_v31525893174061.png","sketches_full_dataset/this circle/this circle_sketch_age2_cdm_run_v31525893174061.png",2,"circle_sketch_age2_cdm_run_v31525893174061.png",1
"9",47,"cdm_run_v31525893423612",0,"square","age6",1525893590056,2018-05-09 19:19:50,3,5.395,NA,NA,0.0323062818877551,"(43, 207, 22, 195)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age6_cdm_run_v31525893423612.png","square_sketch_age6_cdm_run_v31525893423612.png","sketches_full_dataset/square/square_sketch_age6_cdm_run_v31525893423612.png",6,"",1
"10",48,"cdm_run_v31525893423612",1,"shape","age6",1525893611250,2018-05-09 19:20:11,9,1.531,NA,NA,0.0382453762755102,"(4, 216, 25, 153)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age6_cdm_run_v31525893423612.png","shape_sketch_age6_cdm_run_v31525893423612.png","sketches_full_dataset/shape/shape_sketch_age6_cdm_run_v31525893423612.png",6,"",1
