,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration_old,draw_duration_new,trial_duration,mean_intensity,bounding_box,filename
0,cdm_run_v31525887455403,0,square,age2,1525887473780.0,2018-05-09T17:37:53.780Z,1,0.0,NA,NaN,0.01943160076530612,"(58, 162, 63, 159)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age2_cdm_run_v31525887455403.png
1,cdm_run_v31525887854758,0,square,age6,1525888044823.0,2018-05-09T17:47:24.822Z,1,0.0,NA,NaN,0.021623883928571428,"(57, 165, 42, 157)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age6_cdm_run_v31525887854758.png
2,cdm_run_v31525887854758,1,shape,age6,1525888061964.0,2018-05-09T17:47:41.964Z,1,0.0,NA,NaN,0.03441884566326531,"(0, 205, 36, 148)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age6_cdm_run_v31525887854758.png
3,cdm_run_v31525887854758,2,this circle,age6,1525888070941.0,2018-05-09T17:47:50.941Z,1,0.0,NA,NaN,0.01891342474489796,"(46, 171, 58, 156)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age6_cdm_run_v31525887854758.png
4,cdm_run_v31525887854758,3,a cup,age6,1525888087740.0,2018-05-09T17:48:07.740Z,4,2.089,NA,NaN,0.04005899234693878,"(18, 208, 48, 150)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/a cup_sketch_age6_cdm_run_v31525887854758.png
5,cdm_run_v31525887854758,4,a tree,age6,1525888108373.0,2018-05-09T17:48:28.373Z,3,4.501,NA,NaN,0.03886320153061224,"(15, 181, 60, 216)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/a tree_sketch_age6_cdm_run_v31525887854758.png
6,cdm_run_v31525887854758,5,a fish,age6,1525888141343.0,2018-05-09T17:49:01.343Z,16,20.512,NA,NaN,0.06317761479591837,"(33, 138, 39, 201)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/a fish_sketch_age6_cdm_run_v31525887854758.png
7,cdm_run_v31525887854758,6,a dog,age6,1525888177242.0,2018-05-09T17:49:37.242Z,14,21.167,NA,NaN,0.0716079400510204,"(34, 192, 49, 223)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/a dog_sketch_age6_cdm_run_v31525887854758.png
8,cdm_run_v31525888228961,0,square,age4,1525889076928.0,2018-05-09T18:04:36.928Z,2,1.155,NA,NaN,0.0006377551020408163,"(105, 115, 93, 110)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age4_cdm_run_v31525888228961.png
9,cdm_run_v31525888228961,1,shape,age4,1525889085950.0,2018-05-09T18:04:45.950Z,2,0.742,NA,NaN,0.0,"(0, 0, 0, 0)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age4_cdm_run_v31525888228961.png
10,cdm_run_v31525889090419,1,shape,age4,1525889152070.0,2018-05-09T18:05:52.070Z,4,2.095,NA,NaN,0.0107421875,"(30, 199, 108, 136)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age4_cdm_run_v31525889090419.png
11,cdm_run_v31525889224904,0,square,age2,1525889239032.0,2018-05-09T18:07:19.032Z,1,0.0,NA,NaN,0.020448022959183673,"(57, 159, 63, 169)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age2_cdm_run_v31525889224904.png
12,cdm_run_v31525889224904,1,shape,age2,1525889258074.0,2018-05-09T18:07:38.074Z,14,4.868,NA,NaN,0.032126913265306124,"(4, 216, 73, 148)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age2_cdm_run_v31525889224904.png
13,cdm_run_v31525890266406,6,a fish,age9,1525890410711.0,2018-05-09T18:26:50.711Z,1,0.0,NA,NaN,0.034478635204081634,"(27, 156, 22, 223)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/a fish_sketch_age9_cdm_run_v31525890266406.png
14,cdm_run_v31525890266406,7,a person,age9,1525890418971.0,2018-05-09T18:26:58.971Z,1,0.0,NA,NaN,0.019571109693877552,"(52, 178, 42, 120)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/a person_sketch_age9_cdm_run_v31525890266406.png
15,cdm_run_v31525890491721,0,square,age6,1525890526438.0,2018-05-09T18:28:46.438Z,3,0.937,NA,NaN,0.010004783163265306,"(63, 186, 63, 141)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age6_cdm_run_v31525890491721.png
16,cdm_run_v31525891444648,1,shape,age6,1525891507226.0,2018-05-09T18:45:07.226Z,1,0.0,NA,NaN,0.0,"(0, 0, 0, 0)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age6_cdm_run_v31525891444648.png
17,cdm_run_v31525891444648,3,a boat,age6,1525891545609.0,2018-05-09T18:45:45.609Z,8,16.335,NA,NaN,0.05564413265306122,"(24, 211, 34, 177)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/a boat_sketch_age6_cdm_run_v31525891444648.png
18,cdm_run_v31525891444648,4,a fish,age6,1525891561227.0,2018-05-09T18:46:01.227Z,6,6.883,NA,NaN,0.031130420918367346,"(6, 127, 72, 210)",/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/a fish_sketch_age6_cdm_run_v31525891444648.png
