,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration,filename
0,cdm_run_test1524766518460,0,square,age5,1524766654102.0,2018-04-26T18:17:34.102Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age5_cdm_run_test1524766518460.png
1,cdm_run_test1524766518460,1,shape,age5,1524766672708.0,2018-04-26T18:17:52.708Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age5_cdm_run_test1524766518460.png
2,stationPilot1_1524766676245,0,square,age5,1524766752145.0,2018-04-26T18:19:12.145Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age5_stationPilot1_1524766676245.png
3,stationPilot1_1524766676245,1,shape,age5,1524766768676.0,2018-04-26T18:19:28.676Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age5_stationPilot1_1524766676245.png
4,stationPilot1_1524766676245,2,this circle,age5,1524766788001.0,2018-04-26T18:19:48.001Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age5_stationPilot1_1524766676245.png
5,stationPilot1_1524766676245,3,a fish,age5,1524766822248.0,2018-04-26T18:20:22.248Z,10,18.669,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age5_stationPilot1_1524766676245.png
6,stationPilot1_1524766676245,4,a dog,age5,1524766858191.0,2018-04-26T18:20:58.191Z,14,24.784,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a dog_sketch_age5_stationPilot1_1524766676245.png
7,stationPilot1_1524766676245,5,a cup,age5,1524766881502.0,2018-04-26T18:21:21.502Z,7,11.806,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a cup_sketch_age5_stationPilot1_1524766676245.png
8,stationPilot1_1524766676245,6,a boat,age5,1524766897914.0,2018-04-26T18:21:37.914Z,3,4.401,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a boat_sketch_age5_stationPilot1_1524766676245.png
9,stationPilot1_1524766676245,7,a car,age5,1524766933921.0,2018-04-26T18:22:13.921Z,2,11.539,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a car_sketch_age5_stationPilot1_1524766676245.png
10,stationPilot1_1524766676245,8,a house,age5,1524766977098.0,2018-04-26T18:22:57.098Z,14,27.809,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a house_sketch_age5_stationPilot1_1524766676245.png
11,stationPilot1_1524766676245,9,a person,age5,1524767018546.0,2018-04-26T18:23:38.546Z,20,19.973,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a person_sketch_age5_stationPilot1_1524766676245.png
12,stationPilot1_1524766676245,10,a tree,age5,1524767033618.0,2018-04-26T18:23:53.618Z,3,3.236,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a tree_sketch_age5_stationPilot1_1524766676245.png
13,cdm_run_test1524767095441,0,square,age8,1524767405270.0,2018-04-26T18:30:05.270Z,135,22.229,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age8_cdm_run_test1524767095441.png
14,stationPilot1_1524767406267,0,square,age8,1524767430271.0,2018-04-26T18:30:30.271Z,2,8.952,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age8_stationPilot1_1524767406267.png
15,stationPilot1_1524767406267,1,shape,age8,1524767447003.0,2018-04-26T18:30:47.003Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age8_stationPilot1_1524767406267.png
