,category,age,num_strokes,filename,,,,,,,,,
0,a boat,age6,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_1.png,,,,,,,,,0
1,a boat,age5,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_2.png,,,,,,,,,0
2,a boat,age6,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_3.png,,,,,,,,,0
3,a boat,age4,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_4.png,,,,,,,,,1
4,a boat,age2,41,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_5.png,,,,,,,,,2
5,a boat,age3,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_6.png,,,,,,,,,
6,a boat,age3,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_7.png,,,,,,,,,
7,a boat,age8,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_8.png,,,,,,,,,-1
8,a boat,age6,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_9.png,,,,,,,,,
9,a boat,age4,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_10.png,,,,,,,,,
10,a boat,age6,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_11.png,,,,,,,,,
11,a boat,age5,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_12.png,,,,,,,,,
12,a boat,age4,24,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_13.png,,,,,,,,,2
13,a boat,age2,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_14.png,,,,,,,,,
14,a boat,age3,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_15.png,,,,,,,,,
15,a boat,age7,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_16.png,,,,,,,,,
