,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration,filename
0,cdm_run_v31525887455403,0,square,age2,1525887473780.0,2018-05-09T17:37:53.780Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age2_cdm_run_v31525887455403.png
1,cdm_run_v31525887854758,0,square,age6,1525888044823.0,2018-05-09T17:47:24.822Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age6_cdm_run_v31525887854758.png
2,cdm_run_v31525887854758,1,shape,age6,1525888061964.0,2018-05-09T17:47:41.964Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age6_cdm_run_v31525887854758.png
3,cdm_run_v31525887854758,2,this circle,age6,1525888070941.0,2018-05-09T17:47:50.941Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age6_cdm_run_v31525887854758.png
4,cdm_run_v31525887854758,3,a cup,age6,1525888087740.0,2018-05-09T17:48:07.740Z,4,2.089,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a cup_sketch_age6_cdm_run_v31525887854758.png
5,cdm_run_v31525887854758,4,a tree,age6,1525888108373.0,2018-05-09T17:48:28.373Z,3,4.501,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a tree_sketch_age6_cdm_run_v31525887854758.png
6,cdm_run_v31525887854758,5,a fish,age6,1525888141343.0,2018-05-09T17:49:01.343Z,16,20.512,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age6_cdm_run_v31525887854758.png
7,cdm_run_v31525887854758,6,a dog,age6,1525888177242.0,2018-05-09T17:49:37.242Z,14,21.167,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a dog_sketch_age6_cdm_run_v31525887854758.png
8,cdm_run_v31525888228961,0,square,age4,1525889076928.0,2018-05-09T18:04:36.928Z,2,1.155,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age4_cdm_run_v31525888228961.png
9,cdm_run_v31525888228961,1,shape,age4,1525889085950.0,2018-05-09T18:04:45.950Z,2,0.742,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age4_cdm_run_v31525888228961.png
