,sessionID,age,tracing_item,f1_score
0,v31525887854758,6,square,0.06501547987616098
1,v31525893174061,2,square,0.06501547987616098
2,v31525893423612,6,square,0.06501547987616098
3,v31525893768237,3,square,0.06501547987616098
4,v31525893976840,5,square,0.06501547987616098
5,v31525894638556,2,square,0.06501547987616098
6,v31525895728803,6,square,0.06501547987616098
7,v31525887854758,6,shape,0.10606060606060606
8,v31525893174061,2,shape,0.10606060606060606
9,v31525893423612,6,shape,0.10606060606060606
10,v31525893976840,5,shape,0.10606060606060606
11,v31525894638556,2,shape,0.10606060606060606
12,v31525895728803,6,shape,0.10606060606060606
13,v31525887854758,6,this circle,0.07189682505677193
14,v31525893174061,2,this circle,0.07189682505677193
15,v31525893423612,6,this circle,0.07189682505677193
16,v31525893768237,3,this circle,0.07189682505677193
17,v31525893976840,5,this circle,0.07189682505677193
18,v31525894638556,2,this circle,0.07189682505677193
19,v31525895728803,6,this circle,0.07189682505677193
