,sessionID,age,tracing_item,f1_score
0,v21525369355721,10,square,0.09138840070298769
1,v21525545759213,10,square,0.47739888977002376
2,v21525545903076,10,square,0.5365474339035771
3,v21525553656573,10,square,0.15054127198917455
4,1524768031714,10,square,0.660287081339713
5,test1524772855773,2,square,0.22411589262888795
6,v21524845953055,2,square,0.05483028720626632
7,v21524852074777,2,square,0.010810810810810811
8,v21524941894896,2,square,0.4337164750957855
9,v21525208924205,2,square,0.010989010989010988
10,v21525209118926,2,square,0.0
11,v21525215311428,2,square,0.08370044052863437
12,v21525218441146,2,square,0.04945316214931051
13,v21525219775626,2,square,0.15748031496062992
14,v21525281217296,2,square,0.5030674846625767
15,v21525285819658,2,square,0.4393757503001201
16,v21525291006459,2,square,0.25581395348837205
17,v21525302271051,2,square,0.018836565096952907
18,v21525370190417,2,square,0.2380191693290735
19,v21525372199042,2,square,0.36185133239831696
20,v21525376195594,2,square,0.09163987138263664
21,v21525378515329,2,square,0.09170458522926145
22,v21525378954636,2,square,0.09548793284365163
23,v21525379679775,2,square,0.04382470119521912
24,v21525380666735,2,square,0.20065573770491804
25,v21525539599592,2,square,0.0849772382397572
26,v21525542553772,2,square,0.42625482625482625
27,v21525545242362,2,square,0.3712660028449502
28,v21525550576207,2,square,0.05869074492099322
29,v21525555553614,2,square,0.12187057156353331
30,v21525559040290,2,square,0.0
31,v21525559104049,2,square,0.041932543299908843
32,v21525562270268,2,square,0.08773354995938261
33,v21525563260304,2,square,0.4408221119773211
34,v21525630750495,2,square,0.2667313288069835
35,v21525631751206,2,square,0.149978696207925
36,v21525637855268,2,square,0.0380952380952381
37,v21525643466617,2,square,0.0
38,v21525643748953,2,square,0.15880322209436132
39,v21525648039111,2,square,0.14709371293001186
40,v21525803597246,2,square,0.34326424870466316
41,v21525812769058,2,square,0.42689601250977327
42,v21525812846938,2,square,0.13983739837398373
43,v21525812987129,2,square,0.03208556149732621
44,v21525819160129,2,square,0.5262333594361787
45,1524773265153,2,square,0.0
46,test1524776059907,3,square,0.16869424168694241
47,v21524854414741,3,square,0.07705657757723013
48,v21524854452128,3,square,0.23340961098398172
49,v21525202141816,3,square,0.2166666666666667
50,v21525202522700,3,square,0.14659685863874344
51,v21525286901090,3,square,0.07984790874524715
52,v21525287392928,3,square,0.22758343385605148
53,v21525288102233,3,square,0.13905486148832158
54,v21525290944594,3,square,0.2596599690880989
55,v21525298316576,3,square,0.13950073421439063
56,v21525298849851,3,square,0.08058608058608059
57,v21525298979561,3,square,0.08495145631067962
58,v21525299105215,3,square,0.0
59,v21525304115980,3,square,0.18293755496921724
60,v21525304147638,3,square,0.48840381991814463
61,v21525371761734,3,square,0.2267100977198697
62,v21525375424199,3,square,0.419622641509434
63,v21525376290344,3,square,0.0
64,v21525379342262,3,square,0.0965391621129326
65,v21525385713089,3,square,0.17496807151979568
66,v21525387080013,3,square,0.041636755204594394
67,v21525387461638,3,square,0.12669683257918551
68,v21525459787159,3,square,0.5094454600853138
69,v21525467136645,3,square,0.3236205827650341
70,v21525469215644,3,square,0.1302250803858521
71,v21525469344715,3,square,0.14064914992272023
72,v21525473705357,3,square,0.10570236439499305
73,v21525473801500,3,square,0.02788844621513944
74,v21525473900587,3,square,0.2207852193995381
75,v21525474397722,3,square,0.1661070069397806
76,v21525474543819,3,square,0.466143977191732
77,v21525547584814,3,square,0.014224751066856329
78,v21525547616618,3,square,0.13420195439739416
79,v21525550708871,3,square,0.5367702805155421
80,v21525556803279,3,square,0.0
81,v21525558139679,3,square,0.4241971620612397
82,v21525558221538,3,square,0.3843311160384331
83,v21525560551378,3,square,0.08125362739408008
84,v21525560587054,3,square,0.35166537567776923
85,v21525563379410,3,square,0.37187127532777114
86,v21525563483417,3,square,0.2655485674353599
87,v21525638343116,3,square,0.2738095238095238
88,v21525638652721,3,square,0.3562691131498471
89,v21525638712090,3,square,0.21638330757341576
90,v21525638749442,3,square,0.3686567164179105
91,v21525641667592,3,square,0.18813905930470348
92,v21525642314162,3,square,0.27395209580838326
93,v21525642375794,3,square,0.30678466076696165
94,v21525645299423,3,square,0.09033347403967919
95,v21525645588706,3,square,0.0318118948824343
96,v21525649214198,3,square,0.0
97,v21525809687436,3,square,0.11711964135612216
98,v21525809840098,3,square,0.0
99,v21525810440457,3,square,0.012671594508975712
100,v21525811079374,3,square,0.19720382634289918
101,v21525811377305,3,square,0.18222222222222223
102,v21525821354432,3,square,0.5349922239502333
103,1524768583158,3,square,0.14965986394557823
104,1524768691693,3,square,0.4235116804822909
105,v21524856358335,4,square,0.4193061840120664
106,v21524856509063,4,square,0.6430635838150289
107,v21524857899704,4,square,0.013114754098360654
108,v21524941562760,4,square,0.029108550636749546
109,v21525201291994,4,square,0.08333333333333333
110,v21525203747073,4,square,0.16150943396226417
111,v21525209631693,4,square,0.3486943164362519
112,v21525214198507,4,square,0.18294573643410852
113,v21525214415819,4,square,0.45515196441808753
114,v21525214447548,4,square,0.2046332046332046
115,v21525292369468,4,square,0.5133906013137949
116,v21525375196269,4,square,0.0
117,v21525389069916,4,square,0.06363636363636363
118,v21525390471031,4,square,0.2001093493712411
119,v21525390676666,4,square,0.296795952782462
120,v21525453199663,4,square,0.1838893409275834
121,v21525472262535,4,square,0.26357827476038337
122,v21525541778753,4,square,0.30467571644042235
123,v21525541844628,4,square,0.4640625
124,v21525541871983,4,square,0.425531914893617
125,v21525544092259,4,square,0.22376543209876545
126,v21525544661929,4,square,0.28549141965678626
127,v21525544907068,4,square,0.5318646734854445
128,v21525547003710,4,square,0.29774872912127814
129,v21525547045727,4,square,0.2336448598130841
130,v21525547211269,4,square,0.48057097541633625
131,v21525547923487,4,square,0.19593345656192238
132,v21525548044332,4,square,0.0
133,v21525553163077,4,square,0.416988416988417
134,v21525633020452,4,square,0.3140495867768595
135,v21525633145983,4,square,0.49923195084485406
136,v21525639161945,4,square,0.0
137,v21525639180649,4,square,0.0
138,v21525639452665,4,square,0.22347107438016528
139,v21525640494973,4,square,0.20834959032383926
140,v21525641489562,4,square,0.2026009582477755
141,v21525643056695,4,square,0.12912912912912913
142,v21525647207993,4,square,0.32526475037821484
143,v21525648097422,4,square,0.5482625482625483
144,v21525648593559,4,square,0.13313609467455623
145,v21525648686765,4,square,0.10482529118136438
146,v21525648772194,4,square,0.5538221528861155
147,v21525649079597,4,square,0.13618974751338944
148,v21525802763941,4,square,0.49356548069644207
149,v21525803685456,4,square,0.6115830115830116
150,v21525803809858,4,square,0.583008573655495
151,v21525804660164,4,square,0.224981738495252
152,v21525808174680,4,square,0.2792511700468019
153,v21525808318682,4,square,0.31980115990057995
154,v21525809367447,4,square,0.0
155,v21525809542065,4,square,0.19309262166405025
156,v21525809573396,4,square,0.2044636429085673
157,v21525809616969,4,square,0.13775065387968616
158,v21525815254474,4,square,0.08446338628438589
159,1524774211399,4,square,0.0
160,test1524766518460,5,square,0.32576350822239625
161,test1524769263535,5,square,0.5398089171974522
162,v21524853538862,5,square,0.6765857478465152
163,v21524855284958,5,square,0.41085271317829464
164,v21524855358955,5,square,0.35525321239606955
165,v21524942303829,5,square,0.5050348567002323
166,v21525303962336,5,square,0.2257336343115124
167,v21525304014539,5,square,0.6000000000000001
168,v21525369840057,5,square,0.6204819277108434
169,v21525372655577,5,square,0.4256756756756757
170,v21525461501240,5,square,0.5572755417956656
171,v21525470728442,5,square,0.28350116189000774
172,v21525554303144,5,square,0.6253776435045317
173,v21525557787282,5,square,0.26119402985074625
174,v21525558042346,5,square,0.32699619771863125
175,v21525558605121,5,square,0.0
176,v21525559360609,5,square,0.593558282208589
177,v21525559482786,5,square,0.2022641509433962
178,v21525560854927,5,square,0.508550185873606
179,v21525637561864,5,square,0.0
180,v21525637742217,5,square,0.16954238559639911
181,v21525637778736,5,square,0.0
182,v21525641890517,5,square,0.2915042868277475
183,v21525645984910,5,square,0.10881542699724518
184,v21525649510031,5,square,0.2872340425531915
185,v21525802532539,5,square,0.2854973424449507
186,1524766676245,5,square,0.5776736924277908
187,v21524853325838,6,square,0.6830015313935682
188,v21524853769415,6,square,0.49216300940438873
189,v21525378238379,6,square,0.5625942684766215
190,v21525455031623,6,square,0.05679012345679012
191,v21525455237137,6,square,0.4953416149068324
192,v21525455505598,6,square,0.09872434830837493
193,v21525455773609,6,square,0.6604215456674473
194,v21525458631961,6,square,0.5552099533437013
195,v21525461256839,6,square,0.4935849056603774
196,v21525461335258,6,square,0.49882720875684133
197,v21525461357850,6,square,0.5522041763341067
198,v21525461716081,6,square,0.5314685314685315
199,v21525546377637,6,square,0.3630672926447574
200,v21525548553791,6,square,0.49651972157772617
201,v21525556349396,6,square,0.45802650957290136
202,v21525556409675,6,square,0.11836283185840708
203,v21525556427967,6,square,0.475095785440613
204,v21525560249104,6,square,0.4761158966327329
205,v21525561152170,6,square,0.7275565964090553
206,v21525562088811,6,square,0.2125678820791311
207,v21525562697676,6,square,0.5867704280155641
208,v21524852833636,7,square,0.6705969049373618
209,v21524854929261,7,square,0.5440613026819924
210,v21524858351543,7,square,0.4779179810725552
211,v21524858550029,7,square,0.08698242478403337
212,v21524858688467,7,square,0.10207175341081355
213,v21525378010692,7,square,0.5326170376055257
