,category,age,num_strokes,filename,sessionID,draw_duration
0,a boat,age6,8,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_1.png,cdm_run_v31525891444648,16.335
1,a boat,age5,4,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_2.png,cdm_run_v31525893976840,5.97
2,a boat,age6,4,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_3.png,cdm_run_v31525895728803,6.105
3,a boat,age4,4,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_4.png,cdm_run_v31525899254114,6.983
4,a boat,age2,41,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_5.png,cdm_run_v31525901322190,8.983
5,a boat,age3,3,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_6.png,cdm_run_v31525901714819,10.739
6,a boat,age3,9,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_7.png,cdm_run_v31525904067360,5.256
7,a boat,age8,1,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_8.png,cdm_run_v31525908911986,0.0
8,a boat,age6,3,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_9.png,cdm_run_v31525974358965,2.675
9,a boat,age4,6,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_10.png,cdm_run_v31525975379407,21.267
10,a boat,age6,4,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_11.png,cdm_run_v31525976032935,6.8
11,a boat,age5,4,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_12.png,cdm_run_v31525976865876,6.51
12,a boat,age4,24,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_13.png,cdm_run_v31525984464310,19.032
13,a boat,age2,1,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_14.png,cdm_run_v31525990258467,0.0
14,a boat,age3,9,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_15.png,cdm_run_v31525992682386,13.733
15,a boat,age7,3,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_16.png,cdm_run_v31526060708396,3.191
16,a boat,age6,4,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_17.png,cdm_run_v31526061437727,4.491
17,a boat,age7,4,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_18.png,cdm_run_v31526061922561,3.06
18,a boat,age6,2,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_19.png,cdm_run_v31526063462438,2.728
19,a boat,age6,5,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_20.png,cdm_run_v31526063950237,14.368
20,a boat,age7,3,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_21.png,cdm_run_v31526064139398,2.263
21,a boat,age7,1,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_22.png,cdm_run_v31526064497532,0.0
22,a boat,age7,1,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_23.png,cdm_run_v31526064586872,0.0
23,a boat,age2,13,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_24.png,cdm_run_v31526064952740,8.402
24,a boat,age4,1,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_25.png,cdm_run_v31526065527149,0.0
25,a boat,age5,18,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_26.png,cdm_run_v31526072947360,24.939
26,a boat,age8,6,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_27.png,cdm_run_v31526074471797,4.559
27,a boat,age10,11,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_28.png,cdm_run_v31526151383057,14.777
28,a boat,age10,29,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_29.png,cdm_run_v31526152332221,23.15
29,a boat,age2,8,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_30.png,cdm_run_v31526152658322,3.525
30,a boat,age8,3,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_31.png,cdm_run_v31526152868212,4.03
31,a boat,age3,157,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_32.png,cdm_run_v31526154337782,13.643
32,a boat,age9,3,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_33.png,cdm_run_v31526155956525,3.817
33,a boat,age5,8,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_34.png,cdm_run_v31526157427450,9.55
34,a boat,age5,2,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_35.png,cdm_run_v31526158807742,5.198
35,a boat,age2,5,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_36.png,cdm_run_v31526160539320,2.772
36,a boat,age4,22,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_37.png,cdm_run_v31526162026170,20.586
37,a boat,age2,18,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_38.png,cdm_run_v31526162477315,14.604
38,a boat,age8,13,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_39.png,cdm_run_v31526164238357,8.793
39,a boat,age4,54,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_40.png,cdm_run_v31526166383560,16.907
40,a boat,age4,15,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_41.png,cdm_run_v31526167651102,7.034
41,a boat,age6,12,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_42.png,cdm_run_v31526168752022,10.394
42,a boat,age4,4,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_43.png,cdm_run_v31526239192649,4.732
43,a boat,age6,4,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_44.png,cdm_run_v31526240601849,5.709
44,a boat,age2,2,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_45.png,cdm_run_v31526241319670,3.4
45,a boat,age7,24,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_46.png,cdm_run_v31526244386384,18.561
46,a boat,age2,1,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_47.png,cdm_run_v31526249267204,0.0
47,a boat,age8,11,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_48.png,cdm_run_v31526249878999,9.283
48,a boat,age4,12,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_49.png,cdm_run_v31526250064091,19.901
49,a boat,age6,5,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_50.png,cdm_run_v31526251554792,7.435
50,a boat,age6,2,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_51.png,cdm_run_v31526251955281,5.248
51,a boat,age9,15,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_52.png,cdm_run_v31526252261677,11.8
52,a boat,age7,13,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_53.png,cdm_run_v31526252692974,10.293
53,a boat,age8,14,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_54.png,cdm_run_v31526253016255,17.218
54,a boat,age3,1,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_55.png,cdm_run_v31526253202063,0.0
55,a boat,age9,27,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_56.png,cdm_run_v31526253458184,1.271
56,a boat,age5,4,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_57.png,cdm_run_v31526254092272,4.191
57,a boat,age5,1210,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_58.png,cdm_run_v31526254628791,9.559
58,a boat,age5,3,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_59.png,cdm_run_v31526254866517,2.432
59,a boat,age2,2,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_60.png,cdm_run_v31526413722391,0.074
60,a boat,age8,3,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_61.png,cdm_run_v31526413939938,4.592
61,a boat,age2,85,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_62.png,cdm_run_v31526414368321,10.213
62,a boat,age3,1,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_63.png,cdm_run_v31526415298029,0.0
63,a boat,age4,19,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_64.png,cdm_run_v31526417227846,12.552
64,a boat,age7,8,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_65.png,cdm_run_v31526417564997,7.141
65,a boat,age5,20,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_66.png,cdm_run_v31526418564273,22.145
66,a boat,age8,4,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_67.png,cdm_run_v31526422835385,1.613
67,a boat,age3,4,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_68.png,cdm_run_v31526423557040,1.354
68,a boat,age2,131,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_69.png,cdm_run_v31526491920836,17.73
69,a boat,age5,5,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_70.png,cdm_run_v31526492191665,14.739
70,a boat,age2,18,/Users/zixianchai/Desktop/Kid/kiddraw/analysis/museumstation/python/sketches/a boat_71.png,cdm_run_v31526492679058,6.183
