,category,age,num_strokes,filename,Y,C,sum,scribble,sessionId,draw_duration,num_black_pixels,prop_black,max_stroke_length,min_stroke_length,avg_stroke_length,cat_code
0,a boat,6,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_1.png,0,0,0,0,cdm_run_v31525891444648,16.335,1472,0.065422222,5462,1169,3063,0
1,a boat,5,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_2.png,0,0,0,0,cdm_run_v31525893976840,5.97,875,0.038888889,2718,1289,2105,0
2,a boat,6,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_3.png,0,0,0,0,cdm_run_v31525895728803,6.105,1717,0.076311111,5186,1495,2860,0
3,a boat,4,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_4.png,1,1,2,1,cdm_run_v31525899254114,6.983,999,0.0444,3490,1638,2495,0
4,a boat,2,41,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_5.png,2,2,4,1,cdm_run_v31525901322190,8.983,2208,0.098133333,28603,1210,14012,0
5,a boat,3,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_6.png,,0,0,0,cdm_run_v31525901714819,10.739,641,0.028488889,1985,245,1030,0
6,a boat,3,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_7.png,,0,0,0,cdm_run_v31525904067360,5.256,1476,0.0656,6050,2404,4318,0
7,a boat,8,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_8.png,-1,-1,-2,0,cdm_run_v31525908911986,0,0,0,641,641,641,0
8,a boat,6,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_9.png,,0,0,0,cdm_run_v31525974358965,2.675,730,0.032444444,2362,1192,1766,0
9,a boat,4,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_10.png,,0,0,0,cdm_run_v31525975379407,21.267,716,0.031822222,3841,382,1919,0
10,a boat,6,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_11.png,,0,0,0,cdm_run_v31525976032935,6.8,838,0.037244444,3255,905,1903,0
11,a boat,5,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_12.png,,0,0,0,cdm_run_v31525976865876,6.51,1278,0.0568,4994,1299,3179,0
12,a boat,4,24,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_13.png,2,1,3,1,cdm_run_v31525984464310,19.032,1162,0.051644444,9135,18,4831,0
13,a boat,2,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_14.png,,0,0,0,cdm_run_v31525990258467,0,561,0.024933333,1508,1508,1508,0
14,a boat,3,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_15.png,,0,0,0,cdm_run_v31525992682386,13.733,1564,0.069511111,5699,1247,3684,0
15,a boat,7,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_16.png,,0,0,0,cdm_run_v31526060708396,3.191,554,0.024622222,1716,951,1358,0
16,a boat,6,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_17.png,,0,0,0,cdm_run_v31526061437727,4.491,689,0.030622222,2433,904,1561,0
17,a boat,7,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_18.png,,0,0,0,cdm_run_v31526061922561,3.06,556,0.024711111,2033,1181,1662,0
18,a boat,6,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_19.png,,0,0,0,cdm_run_v31526063462438,2.728,249,0.011066667,925,374,650,0
