,label,age,session
386,a bike,7,run_v31531338246387
372,a bike,7,run_v31530394444658
220,a bike,5,run_v31528319399073
476,a bike,10,run_v31529101883430
78,a bike,3,run_v31529447016526
15,a bike,2,run_v31529272799029
315,a bike,6,run_v31529012399114
281,a bike,5,run_v31532126921035
311,a bike,6,run_v31528749624228
102,a bike,3,run_v31530728287403
188,a bike,4,run_v31530744749634
263,a bike,5,run_v31531432311575
481,a bike,10,run_v31529446827103
348,a bike,6,run_v31531776375845
162,a bike,4,run_v31529524328211
300,a bike,6,run_v31528584599124
297,a bike,6,run_v31528491599199
249,a bike,5,run_v31529701799651
233,a bike,5,run_v31528926779657
37,a bike,2,run_v31531597773825
429,a bike,8,run_v31531684414594
507,a bike,10,run_v31532120837108
107,a bike,3,run_v31530816835093
213,a bike,5,run_v31528061399199
45,a bike,2,run_v31531855307230
380,a bike,7,run_v31530729544848
21,a bike,2,run_v31530385056869
153,a bike,4,run_v31529190849069
97,a bike,3,run_v31530566593366
113,a bike,3,run_v31531425616557
210,a bike,5,run_v31527981599050
424,a bike,8,run_v31531425150399
329,a bike,6,run_v31531339757178
496,a bike,10,run_v31531590758359
501,a bike,10,run_v31531929599672
364,a bike,7,run_v31528913633652
399,a bike,7,run_v31532117429606
419,a bike,8,run_v31530479451510
371,a bike,7,run_v31529522399308
325,a bike,6,run_v31530660378005
224,a bike,5,run_v31528659599227
46,a bike,2,run_v31531936445541
331,a bike,6,run_v31531341474003
475,a bike,10,run_v31529097599117
343,a bike,6,run_v31531611923522
1,a bike,2,run_v31527972599108
268,a bike,5,run_v31531773335311
154,a bike,4,run_v31529192767939
144,a bike,4,run_v31528580999095
100,a bike,3,run_v31530651257351
155,a bike,4,run_v31529263799251
278,a bike,5,run_v31532110370251
231,a bike,5,run_v31528922999212
459,a bike,9,run_v31531603807178
134,a bike,3,run_v31532111802262
12,a bike,2,run_v31529101199164
332,a bike,6,run_v31531345439383
276,a bike,5,run_v31532030055524
