,sessionID,age,tracing_item,f1_score,precision,recall,tp,tn,fp,fn
0,v31525887854758,6,square,0.15509202453987733,0.13951434878587196,0.17458563535911603,632,179106,3898,2988
1,v31525887854758,6,square,0.15509202453987733,0.13951434878587196,0.17458563535911603,632,179106,3898,2988
2,v31525887854758,6,shape,0.23563528459670893,0.23377492305633615,0.23752549286199864,1747,173543,5726,5608
3,v31525887854758,6,this circle,0.012468555178825329,0.01400147383935151,0.011238170347003154,57,177538,4014,5015
4,v31525889224904,2,square,0.18695543938262385,0.17014046216583598,0.2074585635359116,751,179341,3663,2869
5,v31525889224904,2,shape,0.23922873474959472,0.3211177278973889,0.19061862678450034,1402,176305,2964,5953
6,v31525892637212,2,square,0.03855203619909502,0.02866756393001346,0.05883977900552486,213,175787,7217,3407
7,v31525893174061,2,square,0.1729742843279961,0.1541955017301038,0.19696132596685084,713,179093,3911,2907
8,v31525893174061,2,shape,0.22871931174372245,0.2355229040622299,0.22229775662814413,1635,173962,5307,5720
9,v31525893174061,2,this circle,0.19198293485023554,0.1747855640071209,0.21293375394321767,1080,176453,5099,3992
10,v31525893423612,6,square,0.005665204678362573,0.004232659748771164,0.00856353591160221,31,175711,7293,3589
11,v31525893423612,6,shape,0.20245559038662483,0.1947970340580621,0.2107409925220938,1550,172862,6407,5805
12,v31525893768237,3,square,0.007452953232718463,0.011448196908986834,0.0055248618784530384,20,181277,1727,3600
13,v31525893976840,5,square,0.2465860319937573,0.23298107643155566,0.261878453038674,948,179883,3121,2672
14,v31525893976840,5,shape,0.22933036645574023,0.23469968687731282,0.22420122365737594,1649,173892,5377,5706
15,v31525893976840,5,this circle,0.05002919992213354,0.049404075355632446,0.05067034700315457,257,176607,4945,4815
16,v31525894638556,2,square,0.07957096532801197,0.07253296953160528,0.08812154696132597,319,178925,4079,3301
17,v31525894638556,2,shape,0.255712806351398,0.2597475455820477,0.25180149558123727,1852,173991,5278,5503
18,v31525894638556,2,this circle,0.46501529655580776,0.4655206480932622,0.4645110410094637,2356,178847,2705,2716
19,v31525895728803,6,square,0.19409603446091475,0.17926515328808798,0.21160220994475137,766,179497,3507,2854
