"","workerid","rating","imageName","condition","imNameShort","category","age","sessionId","correct"
"1","6059c0c7cd2e4c825d69fe8ae5ee8f58","rabbit","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/S/rabbit_sketch_CDM_photodraw_e11532460938594_S_age6.png","S","rabbit_sketch_CDM_photodraw_e11532460938594_S_age6.png","rabbit",6,"e11532460938594",TRUE
"2","6059c0c7cd2e4c825d69fe8ae5ee8f58","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/shoe_sketch_CDM_photodraw_e11532553232054_P_age6.png","P","shoe_sketch_CDM_photodraw_e11532553232054_P_age6.png","shoe",6,"e11532553232054",TRUE
"3","6059c0c7cd2e4c825d69fe8ae5ee8f58","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/train_sketch_CDM_photodraw_e11533148420272_P_age7.png","P","train_sketch_CDM_photodraw_e11533148420272_P_age7.png","train",7,"e11533148420272",FALSE
"4","6059c0c7cd2e4c825d69fe8ae5ee8f58","rabbit","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/rabbit_sketch_CDM_photodraw_e11533148420272_P_age7.png","P","rabbit_sketch_CDM_photodraw_e11533148420272_P_age7.png","rabbit",7,"e11533148420272",TRUE
"5","6059c0c7cd2e4c825d69fe8ae5ee8f58","bird","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/W/cup_sketch_CDM_photodraw_e11533072218503_W_age5.png","W","cup_sketch_CDM_photodraw_e11533072218503_W_age5.png","cup",5,"e11533072218503",FALSE
"6","6059c0c7cd2e4c825d69fe8ae5ee8f58","bus","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/W/train_sketch_CDM_photodraw_e11532552431212_W_age6.png","W","train_sketch_CDM_photodraw_e11532552431212_W_age6.png","train",6,"e11532552431212",FALSE
"7","6059c0c7cd2e4c825d69fe8ae5ee8f58","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/shoe_sketch_CDM_photodraw_e11532556623648_P_age5.png","P","shoe_sketch_CDM_photodraw_e11532556623648_P_age5.png","shoe",5,"e11532556623648",FALSE
"8","6059c0c7cd2e4c825d69fe8ae5ee8f58","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/train_sketch_CDM_photodraw_e11533164692587_P_age4.png","P","train_sketch_CDM_photodraw_e11533164692587_P_age4.png","train",4,"e11533164692587",FALSE
"9","6059c0c7cd2e4c825d69fe8ae5ee8f58","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/S/train_sketch_CDM_photodraw_e11533148939408_S_age5.png","S","train_sketch_CDM_photodraw_e11533148939408_S_age5.png","train",5,"e11533148939408",FALSE
"10","6059c0c7cd2e4c825d69fe8ae5ee8f58","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/S/shoe_sketch_CDM_photodraw_e11533160231802_S_age5.png","S","shoe_sketch_CDM_photodraw_e11533160231802_S_age5.png","shoe",5,"e11533160231802",TRUE
"11","6059c0c7cd2e4c825d69fe8ae5ee8f58","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/train_sketch_CDM_photodraw_e11533145985106_P_age4.png","P","train_sketch_CDM_photodraw_e11533145985106_P_age4.png","train",4,"e11533145985106",FALSE
"12","6059c0c7cd2e4c825d69fe8ae5ee8f58","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/W/cup_sketch_CDM_photodraw_e11533157666476_W_age5.png","W","cup_sketch_CDM_photodraw_e11533157666476_W_age5.png","cup",5,"e11533157666476",FALSE
"13","6059c0c7cd2e4c825d69fe8ae5ee8f58","car","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/shoe_sketch_CDM_photodraw_e11532462743178_P_age6.png","P","shoe_sketch_CDM_photodraw_e11532462743178_P_age6.png","shoe",6,"e11532462743178",FALSE
"14","6059c0c7cd2e4c825d69fe8ae5ee8f58","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/S/cat_sketch_CDM_photodraw_e11532546711242_S_age7.png","S","cat_sketch_CDM_photodraw_e11532546711242_S_age7.png","cat",7,"e11532546711242",FALSE
"15","6059c0c7cd2e4c825d69fe8ae5ee8f58","mouse","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/W/shoe_sketch_CDM_photodraw_e11533072218503_W_age5.png","W","shoe_sketch_CDM_photodraw_e11533072218503_W_age5.png","shoe",5,"e11533072218503",FALSE
"16","6059c0c7cd2e4c825d69fe8ae5ee8f58","cat","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/S/cat_sketch_CDM_photodraw_e11532555995167_S_age5.png","S","cat_sketch_CDM_photodraw_e11532555995167_S_age5.png","cat",5,"e11532555995167",TRUE
