,label,age,session,condition
0,airplane,4,photodraw_e21540576907849,S
1,airplane,4,photodraw_e21541799408496,P
2,airplane,4,photodraw_e21547060282520,P
3,airplane,4,photodraw_e21547070395780,P
4,airplane,4,photodraw_e21547071853117,P
5,airplane,4,photodraw_e21547241159990,P
6,airplane,4,photodraw_e21547242197593,P
7,airplane,4,photodraw_e21547243566891,S
8,airplane,4,photodraw_e21547246292717,S
9,airplane,4,photodraw_e21547663022993,P
10,airplane,4,photodraw_e21547664938821,S
11,airplane,4,photodraw_e21547668526141,P
12,airplane,4,photodraw_e21547672389753,S
13,airplane,4,photodraw_e21547673281903,S
14,airplane,4,photodraw_e21547836177154,P
15,airplane,4,photodraw_e21547849860466,P
16,airplane,4,photodraw_e21548445362792,P
17,airplane,4,photodraw_e21548451296118,P
18,airplane,4,photodraw_e21548455224165,P
19,airplane,5,photodraw_e21541191137910,S
20,airplane,5,photodraw_e21541195324779,S
21,airplane,5,photodraw_e21541616746618,P
22,airplane,5,photodraw_e21542047659207,P
23,airplane,5,photodraw_e21542049031572,S
24,airplane,5,photodraw_e21542053241209,S
25,airplane,5,photodraw_e21542057631101,P
26,airplane,5,photodraw_e21542061442525,P
27,airplane,5,photodraw_e21542218678125,P
28,airplane,5,photodraw_e21542223602317,S
29,airplane,5,photodraw_e21542225408593,P
30,airplane,5,photodraw_e21543430495947,S
31,airplane,5,photodraw_e21543432563054,S
32,airplane,5,photodraw_e21544206692186,P
33,airplane,5,photodraw_e21544647022478,P
34,airplane,5,photodraw_e21544819304302,S
35,airplane,5,photodraw_e21544821083289,P
36,airplane,5,photodraw_e21547062251659,S
37,airplane,5,photodraw_e21547066393058,S
38,airplane,6,photodraw_e21540577320461,S
39,airplane,6,photodraw_e21541008354503,P
40,airplane,6,photodraw_e21541017927896,P
41,airplane,6,photodraw_e21541613545900,P
42,airplane,6,photodraw_e21542050776864,P
43,airplane,6,photodraw_e21542220695445,P
44,airplane,6,photodraw_e21542224218088,S
45,airplane,6,photodraw_e21545255128573,P
46,airplane,6,photodraw_e21547073155004,P
47,airplane,6,photodraw_e21547230596884,P
48,airplane,6,photodraw_e21547232670235,S
49,airplane,6,photodraw_e21547237271293,S
50,airplane,6,photodraw_e21547238095569,S
51,airplane,6,photodraw_e21547240775263,P
52,airplane,6,photodraw_e21547668018017,S
53,airplane,6,photodraw_e21547834597252,P
54,airplane,6,photodraw_e21547836732785,P
55,airplane,6,photodraw_e21547845453981,P
56,airplane,6,photodraw_e21547849081297,S
57,airplane,6,photodraw_e21548094649748,S
58,airplane,6,photodraw_e21548097384364,P
59,airplane,7,photodraw_e21542049475400,S
60,airplane,7,photodraw_e21542224706912,S
61,airplane,7,photodraw_e21544820627246,S
62,airplane,7,photodraw_e21545255476223,P
63,airplane,7,photodraw_e21547061122742,P
64,airplane,7,photodraw_e21547069129052,P
65,airplane,7,photodraw_e21547242571962,S
66,airplane,7,photodraw_e21547247873170,S
67,airplane,7,photodraw_e21547667337924,S
68,airplane,7,photodraw_e21547844653939,P
69,airplane,7,photodraw_e21547848462737,P
70,airplane,7,photodraw_e21548096758313,P
71,airplane,7,photodraw_e21548098146005,S
72,airplane,7,photodraw_e21548098930405,S
73,airplane,7,photodraw_e21548106388954,P
74,airplane,7,photodraw_e21548107987673,P
75,airplane,7,photodraw_e21548441283760,P
76,airplane,7,photodraw_e21548451831175,P
77,airplane,7,photodraw_e21548873811739,P
78,airplane,7,photodraw_e21548958550335,S
79,airplane,8,photodraw_e21542229353364,P
80,airplane,8,photodraw_e21545166957201,P
81,airplane,8,photodraw_e21547232289747,S
82,airplane,8,photodraw_e21547238752953,S
83,airplane,8,photodraw_e21547677339884,S
84,airplane,8,photodraw_e21547845878342,S
85,airplane,8,photodraw_e21547849501667,P
86,airplane,8,photodraw_e21548096119835,P
87,airplane,8,photodraw_e21548100335223,P
88,airplane,8,photodraw_e21548104824451,S
89,airplane,8,photodraw_e21548105648196,S
90,airplane,8,photodraw_e21548449754672,S
91,bike,4,photodraw_e21540576907849,P
92,bike,4,photodraw_e21541799408496,S
93,bike,4,photodraw_e21547060282520,P
94,bike,4,photodraw_e21547070395780,S
