,sessionId,trial_num,recognizer_age,sketch_path,intended_category,producer_age,clicked_category,RT
0,smallobjectgame_run_v11579283459559,1,adult,[u'photos/bowl_2.png'],bowl,photo,bowl,28948.0
1,smallobjectgame_run_v11579283459559,2,adult,[u'photos/key_3.png'],key,photo,key,1025.0
2,smallobjectgame_run_v11579285498576,1,age3,[u'photos/bowl_4.png'],bowl,photo,bowl,5973.0
3,smallobjectgame_run_v11579285498576,2,age3,[u'photos/scissors_3.png'],scissors,photo,scissors,3495.0
4,smallobjectgame_run_v11579285498576,3,age3,[u'photos/key_4.png'],key,photo,key,2233.0
5,smallobjectgame_run_v11579285498576,4,age3,[u'photos/phone_1.png'],phone,photo,phone,2085.0
6,smallobjectgame_run_v11579286320631,1,age2,[u'photos/bowl_2.png'],bowl,photo,bowl,8069.0
7,smallobjectgame_run_v11579286320631,2,age2,[u'photos/scissors_2.png'],scissors,photo,bowl,8756.0
8,smallobjectgame_run_v11579286320631,3,age2,[u'photos/key_3.png'],key,photo,key,8934.0
9,smallobjectgame_run_v11579286320631,4,age2,[u'photos/phone_1.png'],phone,photo,key,9577.0
10,smallobjectgame_run_v11579286320631,5,age2,balanced_sketches_renamed/scissors_sketch_age6_cdm_run_v41539981077129.png,scissors,age6,scissors,11261.0
11,smallobjectgame_run_v11579286320631,6,age2,balanced_sketches_renamed/bowl_sketch_age6_cdm_run_v31527974237867.png,bowl,age6,bowl,8344.0
12,smallobjectgame_run_v11579286320631,7,age2,balanced_sketches_renamed/scissors_sketch_age7_cdm_run_v41541877471753.png,scissors,age7,bowl,9026.0
13,smallobjectgame_run_v11579286320631,8,age2,balanced_sketches_renamed/bowl_sketch_age7_cdm_run_v31529088599359.png,bowl,age7,phone,5443.0
14,smallobjectgame_run_v11579286320631,9,age2,balanced_sketches_renamed/scissors_sketch_age6_cdm_run_v41541980316905.png,scissors,age6,phone,6119.0
15,smallobjectgame_run_v11579286320631,10,age2,balanced_sketches_renamed/phone_sketch_age5_cdm_run_v41548019406012.png,phone,age5,phone,6827.0
16,smallobjectgame_run_v11579286320631,11,age2,balanced_sketches_renamed/scissors_sketch_age4_cdm_run_v41541708147779.png,scissors,age4,phone,1971.0
17,smallobjectgame_run_v11579286320631,12,age2,balanced_sketches_renamed/phone_sketch_age6_cdm_run_v41550607109476.png,phone,age6,phone,425.0
18,smallobjectgame_run_v11579286594930,1,age2,[u'photos/bowl_2.png'],bowl,photo,bowl,5081.0
19,smallobjectgame_run_v11579286594930,2,age2,[u'photos/key_3.png'],key,photo,key,3840.0
20,smallobjectgame_run_v11579286594930,3,age2,[u'photos/phone_4.png'],phone,photo,key,5919.0
21,smallobjectgame_run_v11579286594930,4,age2,[u'photos/scissors_3.png'],scissors,photo,key,6573.0
22,smallobjectgame_run_v11579286594930,5,age2,balanced_sketches_renamed/bowl_sketch_age7_cdm_run_v31531344318041.png,bowl,age7,phone,4037.0
23,smallobjectgame_run_v11579286594930,6,age2,balanced_sketches_renamed/bowl_sketch_age6_cdm_run_v31531697804442.png,bowl,age6,phone,5309.0
24,smallobjectgame_run_v11579286594930,7,age2,balanced_sketches_renamed/key_sketch_age6_cdm_run_v41541970551892.png,key,age6,scissors,760.0
25,smallobjectgame_run_v11579286594930,8,age2,balanced_sketches_renamed/key_sketch_age4_cdm_run_v41550444891547.png,key,age4,scissors,2009.0
26,smallobjectgame_run_v11579286594930,9,age2,balanced_sketches_renamed/bowl_sketch_age6_cdm_run_v31532197883703.png,bowl,age6,bowl,4918.0
27,smallobjectgame_run_v11579286594930,10,age2,balanced_sketches_renamed/key_sketch_age4_cdm_run_v41544906234657.png,key,age4,bowl,6088.0
28,smallobjectgame_run_v11579286594930,11,age2,balanced_sketches_renamed/key_sketch_age8_cdm_run_v41548106143019.png,key,age8,bowl,6821.0
29,smallobjectgame_run_v11579287014020,1,age5,[u'photos/key_2.png'],key,photo,key,7250.0
30,smallobjectgame_run_v11579287014020,2,age5,[u'photos/bowl_2.png'],bowl,photo,bowl,5498.0
31,smallobjectgame_run_v11579287014020,3,age5,[u'photos/scissors_4.png'],scissors,photo,bowl,6168.0
32,smallobjectgame_run_v11579287014020,4,age5,[u'photos/phone_3.png'],phone,photo,phone,3429.0
33,smallobjectgame_run_v11579287014020,5,age5,balanced_sketches_renamed/phone_sketch_age5_cdm_run_v41541276975214.png,phone,age5,phone,4089.0
