animacy,size,category,vehicle
0,1,airplane,0
0,0,apple,0
1,1,bear,0
0,1,bed,0
1,0,bee,0
0,1,bike,0
1,0,bird,0
0,1,boat,0
0,0,book,0
0,0,bottle,0
0,0,bowl,0
0,1,cactus,0
1,1,camel,0
0,1,car,0
1,0,cat,1
0,1,chair,0
0,0,clock,1
0,1,couch,1
1,1,cow,0
0,0,cup,1
1,0,dog,0
1,1,elephant,0
1,0,face,0
1,0,fish,0
1,0,frog,1
1,0,hand,0
0,0,hat,0
1,1,horse,0
0,1,house,0
0,0,ice.cream,0
0,0,key,0
0,0,lamp,0
0,0,mushroom,0
1,1,octopus,0
1,1,person,0
0,0,phone,0
0,1,piano,0
1,0,rabbit,0
0,0,scissors,0
1,1,sheep,0
1,0,snail,0
1,0,spider,0
1,1,tiger,0
0,1,train,0
0,1,tree,0
0,1,TV,0
0,0,watch,0
1,1,whale,0
