"","fileNameShort","session_id","trial_num","category","age","submit_time","submit_date","num_strokes","draw_duration_old","draw_duration_new","trial_duration","mean_intensity","bounding_box","filename","fullPath","age_numeric","fileNameShortNew"
"1","a bottle_sketch_age10_cdm_run_v51551572768941.png","cdm_run_v51551572768941",7,"a bottle","age10",1551573060864,2019-03-03 00:31:00,6,8.909,0,14.025,0.0424904336734694,"(52, 205, 81, 184)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/sketches_full_dataset/a bottle_sketch_age10_cdm_run_v51551572768941.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v5/sketches_full_dataset/a bottle/a bottle_sketch_age10_cdm_run_v51551572768941.png",10,"bottle_sketch_age10_cdm_run_v51551572768941.png"
"2","a bottle_sketch_age10_cdm_run_v51551644482014.png","cdm_run_v51551644482014",5,"a bottle","age10",1551644718514,2019-03-03 20:25:18,2,1.614,0,9.359,0.0251713966836735,"(0, 189, 79, 154)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/sketches_full_dataset/a bottle_sketch_age10_cdm_run_v51551644482014.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v5/sketches_full_dataset/a bottle/a bottle_sketch_age10_cdm_run_v51551644482014.png",10,"bottle_sketch_age10_cdm_run_v51551644482014.png"
"3","a bottle_sketch_age10_cdm_run_v51551645028092.png","cdm_run_v51551645028092",9,"a bottle","age10",1551645260210,2019-03-03 20:34:20,2,4.635,0,6.677,0.0171197385204082,"(55, 177, 85, 136)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/sketches_full_dataset/a bottle_sketch_age10_cdm_run_v51551645028092.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v5/sketches_full_dataset/a bottle/a bottle_sketch_age10_cdm_run_v51551645028092.png",10,"bottle_sketch_age10_cdm_run_v51551645028092.png"
"4","a bottle_sketch_age10_cdm_run_v51551985287097.png","cdm_run_v51551985287097",7,"a bottle","age10",1551985439147,2019-03-07 19:03:59,2,9.85,0,3.614,0.014289700255102,"(43, 162, 94, 142)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/sketches_full_dataset/a bottle_sketch_age10_cdm_run_v51551985287097.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v5/sketches_full_dataset/a bottle/a bottle_sketch_age10_cdm_run_v51551985287097.png",10,"bottle_sketch_age10_cdm_run_v51551985287097.png"
"5","a bottle_sketch_age10_cdm_run_v51551985666409.png","cdm_run_v51551985666409",10,"a bottle","age10",1551985829401,2019-03-07 19:10:29,1,0,0,4.476,0.0213448660714286,"(19, 193, 76, 153)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/sketches_full_dataset/a bottle_sketch_age10_cdm_run_v51551985666409.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v5/sketches_full_dataset/a bottle/a bottle_sketch_age10_cdm_run_v51551985666409.png",10,"bottle_sketch_age10_cdm_run_v51551985666409.png"
"6","a bottle_sketch_age10_cdm_run_v51552001435229.png","cdm_run_v51552001435229",4,"a bottle","age10",1552001533916,2019-03-07 23:32:13,7,10.767,0,17.737,0.0262077487244898,"(0, 183, 58, 136)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/sketches_full_dataset/a bottle_sketch_age10_cdm_run_v51552001435229.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v5/sketches_full_dataset/a bottle/a bottle_sketch_age10_cdm_run_v51552001435229.png",10,"bottle_sketch_age10_cdm_run_v51552001435229.png"
"7","a bottle_sketch_age10_cdm_run_v51552591439996.png","cdm_run_v51552591439996",11,"a bottle","age10",1552591697292,2019-03-14 19:28:17,8,5.326,0,8.817,0.0209661989795918,"(55, 168, 79, 126)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/sketches_full_dataset/a bottle_sketch_age10_cdm_run_v51552591439996.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v5/sketches_full_dataset/a bottle/a bottle_sketch_age10_cdm_run_v51552591439996.png",10,"bottle_sketch_age10_cdm_run_v51552591439996.png"
"8","a bottle_sketch_age10_cdm_run_v51552600549457.png","cdm_run_v51552600549457",10,"a bottle","age10",1552600860065,2019-03-14 22:01:00,4,9.418,0,19.753,0.0210459183673469,"(69, 220, 93, 144)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/sketches_full_dataset/a bottle_sketch_age10_cdm_run_v51552600549457.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v5/sketches_full_dataset/a bottle/a bottle_sketch_age10_cdm_run_v51552600549457.png",10,"bottle_sketch_age10_cdm_run_v51552600549457.png"
"9","a bottle_sketch_age10_cdm_run_v51552602908723.png","cdm_run_v51552602908723",10,"a bottle","age10",1552603234511,2019-03-14 22:40:34,2,3.244,0,18.057,0.0274832589285714,"(18, 207, 40, 148)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/sketches_full_dataset/a bottle_sketch_age10_cdm_run_v51552602908723.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v5/sketches_full_dataset/a bottle/a bottle_sketch_age10_cdm_run_v51552602908723.png",10,"bottle_sketch_age10_cdm_run_v51552602908723.png"
"10","a bottle_sketch_age10_cdm_run_v51553122217093.png","cdm_run_v51553122217093",8,"a bottle","age10",1553122427932,2019-03-20 22:53:47,24,23.124,0,27.136,0.0398796237244898,"(36, 174, 27, 150)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/june-2019/1_get_sketches/sketches_full_dataset/a bottle_sketch_age10_cdm_run_v51553122217093.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v5/sketches_full_dataset/a bottle/a bottle_sketch_age10_cdm_run_v51553122217093.png",10,"bottle_sketch_age10_cdm_run_v51553122217093.png"
