"","fileNameShort","session_id","trial_num","category","age","submit_time","submit_date","num_strokes","draw_duration_old","draw_duration_new","trial_duration","mean_intensity","bounding_box","filename","version","fullPath","age_numeric","fileNameShortNew"
"1","a bee_sketch_age10_cdm_run_v71571526669020.png","cdm_run_v71571526669020",8,"a bee","age10",1571526876038,2019-10-19 23:14:36,9,11.136,0,14.523,0.0281808035714286,"(57, 163, 22, 150)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a bee_sketch_age10_cdm_run_v71571526669020.png","cdm_run_v7","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v7/sketches_full_dataset/a bee/a bee_sketch_age10_cdm_run_v71571526669020.png",10,"bee_sketch_age10_cdm_run_v71571526669020.png"
"2","a bee_sketch_age10_cdm_run_v71571610102326.png","cdm_run_v71571610102326",6,"a bee","age10",1571610254339,2019-10-20 22:24:14,11,11.876,0,14.91,0.0715680803571429,"(21, 145, 22, 187)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a bee_sketch_age10_cdm_run_v71571610102326.png","cdm_run_v7","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v7/sketches_full_dataset/a bee/a bee_sketch_age10_cdm_run_v71571610102326.png",10,"bee_sketch_age10_cdm_run_v71571610102326.png"
"3","a bee_sketch_age10_cdm_run_v71571610980974.png","cdm_run_v71571610980974",10,"a bee","age10",1571611186483,2019-10-20 22:39:46,9,7.563,0,9.99,0.0356345663265306,"(25, 121, 49, 211)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a bee_sketch_age10_cdm_run_v71571610980974.png","cdm_run_v7","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v7/sketches_full_dataset/a bee/a bee_sketch_age10_cdm_run_v71571610980974.png",10,"bee_sketch_age10_cdm_run_v71571610980974.png"
"4","a bee_sketch_age10_cdm_run_v71572124012267.png","cdm_run_v71572124012267",11,"a bee","age10",1572124312613,2019-10-26 21:11:52,20,27.762,0,32.49,0.0632374043367347,"(6, 162, 28, 190)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a bee_sketch_age10_cdm_run_v71572124012267.png","cdm_run_v7","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v7/sketches_full_dataset/a bee/a bee_sketch_age10_cdm_run_v71572124012267.png",10,"bee_sketch_age10_cdm_run_v71572124012267.png"
"5","a bee_sketch_age10_cdm_run_v71572205431405.png","cdm_run_v71572205431405",6,"a bee","age10",1572205523288,2019-10-27 19:45:23,7,2.785,0,4.938,0.026546556122449,"(30, 216, 94, 156)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a bee_sketch_age10_cdm_run_v71572205431405.png","cdm_run_v7","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v7/sketches_full_dataset/a bee/a bee_sketch_age10_cdm_run_v71572205431405.png",10,"bee_sketch_age10_cdm_run_v71572205431405.png"
"6","a bee_sketch_age10_cdm_run_v71572215829141.png","cdm_run_v71572215829141",4,"a bee","age10",1572215929279,2019-10-27 22:38:49,1,0,0,5.795,0.0170599489795918,"(46, 150, 63, 135)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a bee_sketch_age10_cdm_run_v71572215829141.png","cdm_run_v7","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v7/sketches_full_dataset/a bee/a bee_sketch_age10_cdm_run_v71572215829141.png",10,"bee_sketch_age10_cdm_run_v71572215829141.png"
"7","a bee_sketch_age10_cdm_run_v71572216212307.png","cdm_run_v71572216212307",5,"a bee","age10",1572216341334,2019-10-27 22:45:41,8,6.61,0,13.106,0.0220224808673469,"(78, 166, 57, 132)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a bee_sketch_age10_cdm_run_v71572216212307.png","cdm_run_v7","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v7/sketches_full_dataset/a bee/a bee_sketch_age10_cdm_run_v71572216212307.png",10,"bee_sketch_age10_cdm_run_v71572216212307.png"
"8","a bee_sketch_age10_cdm_run_v71572220105620.png","cdm_run_v71572220105620",9,"a bee","age10",1572220285635,2019-10-27 23:51:25,10,10.378,0,12.605,0.0855986926020408,"(7, 157, 25, 214)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a bee_sketch_age10_cdm_run_v71572220105620.png","cdm_run_v7","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v7/sketches_full_dataset/a bee/a bee_sketch_age10_cdm_run_v71572220105620.png",10,"bee_sketch_age10_cdm_run_v71572220105620.png"
"9","a bee_sketch_age10_cdm_run_v71572374918300.png","cdm_run_v71572374918300",5,"a bee","age10",1572375043331,2019-10-29 18:50:43,19,15.063,0,17.655,0.101442920918367,"(18, 223, 13, 213)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a bee_sketch_age10_cdm_run_v71572374918300.png","cdm_run_v7","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v7/sketches_full_dataset/a bee/a bee_sketch_age10_cdm_run_v71572374918300.png",10,"bee_sketch_age10_cdm_run_v71572374918300.png"
"10","a bee_sketch_age10_cdm_run_v71572379377434.png","cdm_run_v71572379377434",9,"a bee","age10",1572379536760,2019-10-29 20:05:36,7,3.559,0,5.809,0.0458984375,"(30, 150, 42, 219)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a bee_sketch_age10_cdm_run_v71572379377434.png","cdm_run_v7","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v7/sketches_full_dataset/a bee/a bee_sketch_age10_cdm_run_v71572379377434.png",10,"bee_sketch_age10_cdm_run_v71572379377434.png"
