"","fileNameShort","X1","session_id","trial_num","category","age","submit_time","submit_date","num_strokes","draw_duration_old","draw_duration_new","trial_duration","mean_intensity","bounding_box","filename","fullPath","age_numeric","fileNameShortNew"
"1","a crab_sketch_age10_cdm_run_v81579472592616.png",432,"cdm_run_v81579472592616",4,"a crab","age10",1579472688152,2020-01-19 22:24:48,13,14.345,0,18.59,0.0414939413265306,"(78, 183, 27, 190)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age10_cdm_run_v81579472592616.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age10_cdm_run_v81579472592616.png",10,"crab_sketch_age10_cdm_run_v81579472592616.png"
"2","a crab_sketch_age10_cdm_run_v81579473682489.png",445,"cdm_run_v81579473682489",5,"a crab","age10",1579473800363,2020-01-19 22:43:20,9,2.966,0,6.345,0.0468351403061225,"(0, 163, 4, 223)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age10_cdm_run_v81579473682489.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age10_cdm_run_v81579473682489.png",10,"crab_sketch_age10_cdm_run_v81579473682489.png"
"3","a crab_sketch_age2_cdm_run_v81579284350322.png",6,"cdm_run_v81579284350322",8,"a crab","age2",1579284609116,2020-01-17 18:10:09,1,0,0,13.969,0.0456991390306122,"(48, 219, 125, 213)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age2_cdm_run_v81579284350322.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age2_cdm_run_v81579284350322.png",2,"crab_sketch_age2_cdm_run_v81579284350322.png"
"4","a crab_sketch_age2_cdm_run_v81579384265354.png",288,"cdm_run_v81579384265354",5,"a crab","age2",1579384624899,2020-01-18 21:57:04,9,23.92,0,30.143,0.0152463329081633,"(51, 110, 115, 204)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age2_cdm_run_v81579384265354.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age2_cdm_run_v81579384265354.png",2,"crab_sketch_age2_cdm_run_v81579384265354.png"
"5","a crab_sketch_age2_cdm_run_v81579468565219.png",396,"cdm_run_v81579468565219",6,"a crab","age2",1579468761141,2020-01-19 21:19:21,5,19.444,0,25.769,0.020149075255102,"(60, 213, 0, 138)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age2_cdm_run_v81579468565219.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age2_cdm_run_v81579468565219.png",2,"crab_sketch_age2_cdm_run_v81579468565219.png"
"6","a crab_sketch_age2_cdm_run_v81579474286711.png",457,"cdm_run_v81579474286711",7,"a crab","age2",1579474466338,2020-01-19 22:54:26,19,11.085,0,17.265,0.043327487244898,"(33, 172, 15, 207)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age2_cdm_run_v81579474286711.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age2_cdm_run_v81579474286711.png",2,"crab_sketch_age2_cdm_run_v81579474286711.png"
"7","a crab_sketch_age2_cdm_run_v81579474768028.png",478,"cdm_run_v81579474768028",10,"a crab","age2",1579475019392,2020-01-19 23:03:39,2,8.441,0,5.873,0.0387635522959184,"(0, 111, 63, 202)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age2_cdm_run_v81579474768028.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age2_cdm_run_v81579474768028.png",2,"crab_sketch_age2_cdm_run_v81579474768028.png"
"8","a crab_sketch_age3_cdm_run_v81579294368093.png",75,"cdm_run_v81579294368093",9,"a crab","age3",1579294723579,2020-01-17 20:58:43,1,0,0,11.119,0.0288982780612245,"(36, 198, 18, 196)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age3_cdm_run_v81579294368093.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age3_cdm_run_v81579294368093.png",3,"crab_sketch_age3_cdm_run_v81579294368093.png"
"9","a crab_sketch_age3_cdm_run_v81579298360070.png",110,"cdm_run_v81579298360070",7,"a crab","age3",1579298611514,2020-01-17 22:03:31,13,18.979,0,30.138,0.0209263392857143,"(96, 150, 63, 205)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age3_cdm_run_v81579298360070.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age3_cdm_run_v81579298360070.png",3,"crab_sketch_age3_cdm_run_v81579298360070.png"
"10","a crab_sketch_age3_cdm_run_v81579300934838.png",137,"cdm_run_v81579300934838",11,"a crab","age3",1579301121997,2020-01-17 22:45:21,1,0,0,3.718,0.0132533482142857,"(99, 168, 75, 157)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age3_cdm_run_v81579300934838.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age3_cdm_run_v81579300934838.png",3,"crab_sketch_age3_cdm_run_v81579300934838.png"
