"","age","sessionId","sketch_img_name","category"
"1","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51552858078304.png","bottle"
"2","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51554586003752.png","bottle"
"3","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51560536323143.png","bottle"
"4","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51554677239378.png","bottle"
"5","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51559507216591.png","bottle"
"6","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51556404440397.png","bottle"
"7","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51552770188636.png","bottle"
"8","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51556049882118.png","bottle"
"9","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51557095104075.png","bottle"
"10","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51554067219848.png","bottle"
"11","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51558726096809.png","bottle"
"12","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51552600944822.png","bottle"
"13","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51556229216999.png","bottle"
"14","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51553117783837.png","bottle"
"15","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51558979611917.png","bottle"
"16","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51553887843756.png","bottle"
"17","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51558912062464.png","bottle"
"18","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51558561332470.png","bottle"
"19","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51553376362481.png","bottle"
"20","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51559680279445.png","bottle"
"21","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51557607797157.png","bottle"
"22","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51557010277935.png","bottle"
"23","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51559078059260.png","bottle"
"24","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51554837617296.png","bottle"
"25","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51558298498026.png","bottle"
"26","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51554413825804.png","hat"
"27","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51554228951919.png","hat"
"28","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51556492287573.png","hat"
"29","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51559245680139.png","hat"
"30","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51553809821956.png","hat"
"31","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51558914810301.png","hat"
