,sessionId,trial_num,recognizer_age,sketch_path,intended_category,producer_age,clicked_category,RT
0,biganimalgame_run_v11571370925933,1,adult,[u'photos/sheep_4.png'],sheep,photo,sheep,3350.0
1,biganimalgame_run_v11571370925933,2,adult,[u'photos/camel_4.png'],camel,photo,camel,1537.0
2,biganimalgame_run_v11571370925933,3,adult,[u'photos/bear_1.png'],bear,photo,bear,962.0
3,biganimalgame_run_v11571370925933,4,adult,[u'photos/tiger_2.png'],tiger,photo,tiger,778.0
4,biganimalgame_run_v11571371084832,1,adult,[u'photos/bear_1.png'],bear,photo,bear,27240.0
5,biganimalgame_run_v11571371084832,2,adult,[u'photos/tiger_3.png'],tiger,photo,tiger,1927.0
6,biganimalgame_run_v11571371084832,3,adult,[u'photos/sheep_1.png'],sheep,photo,sheep,1301.0
7,biganimalgame_run_v11571371084832,4,adult,[u'photos/camel_4.png'],camel,photo,camel,1532.0
8,biganimalgame_run_v11571371084832,5,adult,balanced_sketches_renamed/bear_sketch_age8_cdm_run_v41538867264244.png,bear,age8,bear,7059.0
9,biganimalgame_run_v11571371084832,6,adult,balanced_sketches_renamed/bear_sketch_age4_cdm_run_v41541377708430.png,bear,age4,sheep,2411.0
10,biganimalgame_run_v11571371084832,7,adult,balanced_sketches_renamed/camel_sketch_age8_cdm_run_v51559930598927.png,camel,age8,tiger,102031.0
11,biganimalgame_run_v11571371084832,8,adult,balanced_sketches_renamed/tiger_sketch_age8_cdm_run_v51555008674265.png,tiger,age8,tiger,869.0
12,biganimalgame_run_v11571371084832,9,adult,balanced_sketches_renamed/tiger_sketch_age7_cdm_run_v51558120102935.png,tiger,age7,sheep,798.0
13,biganimalgame_run_v11571371084832,10,adult,balanced_sketches_renamed/bear_sketch_age5_cdm_run_v41540068440653.png,bear,age5,bear,811.0
14,biganimalgame_run_v11571371084832,11,adult,balanced_sketches_renamed/sheep_sketch_age6_cdm_run_v41550964998592.png,sheep,age6,camel,753.0
15,biganimalgame_run_v11571371084832,12,adult,balanced_sketches_renamed/bear_sketch_age5_cdm_run_v41545611667620.png,bear,age5,sheep,5232.0
16,biganimalgame_run_v11571371084832,13,adult,balanced_sketches_renamed/camel_sketch_age5_cdm_run_v51555526146534.png,camel,age5,bear,743.0
17,biganimalgame_run_v11571371084832,14,adult,balanced_sketches_renamed/camel_sketch_age7_cdm_run_v51554228441546.png,camel,age7,camel,636.0
18,biganimalgame_run_v11571371084832,15,adult,[u'photos/bear_2.png'],bear,photo,bear,994.0
19,biganimalgame_run_v11571371084832,16,adult,balanced_sketches_renamed/bear_sketch_age8_cdm_run_v41541372903587.png,bear,age8,sheep,1678.0
20,biganimalgame_run_v11571371084832,17,adult,balanced_sketches_renamed/tiger_sketch_age6_cdm_run_v51557009211724.png,tiger,age6,tiger,936.0
21,biganimalgame_run_v11571371084832,18,adult,balanced_sketches_renamed/camel_sketch_age8_cdm_run_v51554317223964.png,camel,age8,sheep,1520.0
22,biganimalgame_run_v11571371084832,19,adult,balanced_sketches_renamed/sheep_sketch_age6_cdm_run_v41546043232200.png,sheep,age6,sheep,2081.0
23,biganimalgame_run_v11571371084832,20,adult,balanced_sketches_renamed/tiger_sketch_age5_cdm_run_v51552594612798.png,tiger,age5,bear,1055.0
24,biganimalgame_run_v11571371084832,21,adult,balanced_sketches_renamed/sheep_sketch_age7_cdm_run_v41546035927188.png,sheep,age7,sheep,1054.0
25,biganimalgame_run_v11571371084832,22,adult,balanced_sketches_renamed/tiger_sketch_age8_cdm_run_v51553885548026.png,tiger,age8,tiger,1163.0
