session_id,age,trial_num,condition,category
CDM_photodraw_e11532547528521,age4,5,P,train
CDM_photodraw_e11532547528521,age4,6,P,cat
CDM_photodraw_e11532547528521,age4,7,P,rabbit
CDM_photodraw_e11532552096322,age4,3,S,rabbit
CDM_photodraw_e11532552096322,age4,4,S,train
CDM_photodraw_e11532552096322,age4,5,S,cat
CDM_photodraw_e11532552096322,age4,6,S,cup
CDM_photodraw_e11532552096322,age4,7,S,shoe
CDM_photodraw_e11532552431212,age6,3,W,cat
CDM_photodraw_e11532552431212,age6,4,W,cup
CDM_photodraw_e11532552431212,age6,5,W,rabbit
CDM_photodraw_e11532552431212,age6,6,W,train
CDM_photodraw_e11532552431212,age6,7,W,shoe
CDM_photodraw_e11532553232054,age6,3,P,cat
CDM_photodraw_e11532553232054,age6,4,P,cup
CDM_photodraw_e11532553232054,age6,5,P,rabbit
CDM_photodraw_e11532553232054,age6,6,P,train
CDM_photodraw_e11532553232054,age6,7,P,shoe
CDM_photodraw_e11532554214992,age6,3,S,cup
CDM_photodraw_e11532554214992,age6,4,S,cat
CDM_photodraw_e11532554214992,age6,5,S,rabbit
CDM_photodraw_e11532554214992,age6,6,S,shoe
CDM_photodraw_e11532554214992,age6,7,S,train
CDM_photodraw_e11532554599143,age4,3,W,cat
CDM_photodraw_e11532554599143,age4,4,W,train
CDM_photodraw_e11532554599143,age4,5,W,shoe
CDM_photodraw_e11532554599143,age4,6,W,cup
CDM_photodraw_e11532554599143,age4,7,W,rabbit
CDM_photodraw_e11532555203616,age4,3,P,shoe
CDM_photodraw_e11532555203616,age4,4,P,cat
CDM_photodraw_e11532555203616,age4,5,P,train
CDM_photodraw_e11532555203616,age4,6,P,rabbit
CDM_photodraw_e11532555203616,age4,7,P,cup
CDM_photodraw_e11532555995167,age5,3,S,rabbit
CDM_photodraw_e11532555995167,age5,4,S,train
CDM_photodraw_e11532555995167,age5,5,S,cat
CDM_photodraw_e11532555995167,age5,6,S,cup
CDM_photodraw_e11532555995167,age5,7,S,shoe
CDM_photodraw_e11532556623648,age5,3,P,cat
CDM_photodraw_e11532556623648,age5,4,P,train
CDM_photodraw_e11532556623648,age5,5,P,cup
CDM_photodraw_e11532556623648,age5,6,P,rabbit
CDM_photodraw_e11532556623648,age5,7,P,shoe
CDM_photodraw_e11532557358704,age7,3,S,rabbit
CDM_photodraw_e11532557358704,age7,4,S,train
CDM_photodraw_e11532557358704,age7,5,S,cup
CDM_photodraw_e11532557358704,age7,6,S,shoe
CDM_photodraw_e11532557358704,age7,7,S,cat
CDM_photodraw_e11532557578120,age7,3,W,rabbit
CDM_photodraw_e11532557578120,age7,4,W,train
CDM_photodraw_e11532557578120,age7,5,W,cup
CDM_photodraw_e11532557578120,age7,6,W,cat
CDM_photodraw_e11532557578120,age7,7,W,shoe
CDM_photodraw_e11532558017061,age6,3,P,train
CDM_photodraw_e11532558017061,age6,4,P,cat
CDM_photodraw_e11532558017061,age6,5,P,cup
CDM_photodraw_e11532558017061,age6,6,P,shoe
CDM_photodraw_e11532558017061,age6,7,P,rabbit
CDM_photodraw_e11532559138714,age5,3,P,train
CDM_photodraw_e11532559138714,age5,4,P,shoe
CDM_photodraw_e11532559138714,age5,5,P,cat
CDM_photodraw_e11532559138714,age5,6,P,rabbit
CDM_photodraw_e11532559138714,age5,7,P,cup
CDM_photodraw_e11533072218503,age5,3,W,train
CDM_photodraw_e11533072218503,age5,4,W,cup
CDM_photodraw_e11533072218503,age5,5,W,rabbit
CDM_photodraw_e11533072218503,age5,6,W,cat
CDM_photodraw_e11533072218503,age5,7,W,shoe
CDM_photodraw_e11533073144281,age5,3,W,train
CDM_photodraw_e11533073144281,age5,4,W,rabbit
CDM_photodraw_e11533073144281,age5,5,W,cup
CDM_photodraw_e11533073144281,age5,6,W,cat
CDM_photodraw_e11533073144281,age5,7,W,shoe
CDM_photodraw_e11533077186611,age5,3,P,rabbit
CDM_photodraw_e11533077186611,age5,4,P,cup
CDM_photodraw_e11533077186611,age5,5,P,shoe
CDM_photodraw_e11533077186611,age5,6,P,train
CDM_photodraw_e11533077186611,age5,7,P,cat
CDM_photodraw_e11533077471951,age5,3,W,train
CDM_photodraw_e11533077471951,age5,4,W,cup
CDM_photodraw_e11533077471951,age5,5,W,rabbit
CDM_photodraw_e11533077471951,age5,6,W,cat
CDM_photodraw_e11533077471951,age5,7,W,shoe
CDM_photodraw_e11533079562976,age5,3,S,shoe
CDM_photodraw_e11533079562976,age5,4,S,train
CDM_photodraw_e11533079562976,age5,5,S,cat
CDM_photodraw_e11533079562976,age5,6,S,cup
CDM_photodraw_e11533079562976,age5,7,S,rabbit
CDM_photodraw_e11533079944053,age6,3,W,cup
CDM_photodraw_e11533079944053,age6,4,W,rabbit
CDM_photodraw_e11533079944053,age6,5,W,shoe
CDM_photodraw_e11533079944053,age6,6,W,train
CDM_photodraw_e11533079944053,age6,7,W,cat
CDM_photodraw_e11533080485289,age4,3,S,train
CDM_photodraw_e11533080485289,age4,4,S,rabbit
CDM_photodraw_e11533080485289,age4,5,S,cat
CDM_photodraw_e11533080485289,age4,6,S,shoe
CDM_photodraw_e11533080485289,age4,7,S,cup
