session_id,age,trial_num,condition,category,newSet
CDM_photodraw_e11532111112405,7,4,S,shoe,2
CDM_photodraw_e11532114278628,5,4,P,shoe,2
CDM_photodraw_e11532119809715,7,3,W,cup,2
CDM_photodraw_e11532119809715,7,4,W,train,2
CDM_photodraw_e11532119809715,7,5,W,cat,2
CDM_photodraw_e11532122541242,5,4,P,rabbit,2
CDM_photodraw_e11532122541242,5,5,P,cup,2
CDM_photodraw_e11532460938594,6,5,S,rabbit,2
CDM_photodraw_e11532462743178,6,3,P,cat,2
CDM_photodraw_e11532462743178,6,4,P,shoe,2
CDM_photodraw_e11532462743178,6,7,P,cup,2
CDM_photodraw_e11532463640792,6,4,S,train,2
CDM_photodraw_e11532463640792,6,6,S,cup,2
CDM_photodraw_e11532466284265,5,3,P,train,2
CDM_photodraw_e11532467421953,4,3,S,cat,2
CDM_photodraw_e11532467421953,4,4,S,shoe,2
CDM_photodraw_e11532467421953,4,5,S,cup,2
CDM_photodraw_e11532471274122,4,5,S,cup,2
CDM_photodraw_e11532472926384,4,4,W,train,2
CDM_photodraw_e11532472926384,4,5,W,cup,2
CDM_photodraw_e11532541142092,5,5,P,cat,2
CDM_photodraw_e11532543756370,6,7,S,cat,2
CDM_photodraw_e11532544321666,4,7,W,rabbit,2
CDM_photodraw_e11532545713435,6,7,P,cup,2
CDM_photodraw_e11532546711242,7,4,S,cat,2
CDM_photodraw_e11532546711242,7,7,S,train,2
CDM_photodraw_e11532547010484,6,3,W,rabbit,2
CDM_photodraw_e11532547010484,6,4,W,cat,2
CDM_photodraw_e11532547010484,6,6,W,train,2
CDM_photodraw_e11532547010484,6,7,W,cup,2
CDM_photodraw_e11532547528521,4,3,P,cup,2
CDM_photodraw_e11532552096322,4,3,S,rabbit,2
CDM_photodraw_e11532552096322,4,7,S,shoe,2
CDM_photodraw_e11532552431212,6,6,W,train,2
CDM_photodraw_e11532553232054,6,7,P,shoe,2
CDM_photodraw_e11532554214992,6,3,S,cup,2
CDM_photodraw_e11532554214992,6,4,S,cat,2
CDM_photodraw_e11532554214992,6,6,S,shoe,2
CDM_photodraw_e11532554599143,4,4,W,train,2
CDM_photodraw_e11532554599143,4,5,W,shoe,2
CDM_photodraw_e11532554599143,4,6,W,cup,2
CDM_photodraw_e11532555203616,4,5,P,train,2
CDM_photodraw_e11532555995167,5,3,S,rabbit,2
CDM_photodraw_e11532555995167,5,5,S,cat,2
CDM_photodraw_e11532556623648,5,3,P,cat,2
CDM_photodraw_e11532556623648,5,7,P,shoe,2
CDM_photodraw_e11532557358704,7,5,S,cup,2
CDM_photodraw_e11532557578120,7,3,W,rabbit,2
CDM_photodraw_e11532558017061,6,3,P,train,2
CDM_photodraw_e11532558017061,6,4,P,cat,2
CDM_photodraw_e11532558017061,6,6,P,shoe,2
CDM_photodraw_e11532559138714,5,4,P,shoe,2
CDM_photodraw_e11532559138714,5,5,P,cat,2
CDM_photodraw_e11532559138714,5,6,P,rabbit,2
CDM_photodraw_e11532559138714,5,7,P,cup,2
CDM_photodraw_e11533072218503,5,4,W,cup,2
CDM_photodraw_e11533072218503,5,6,W,cat,2
CDM_photodraw_e11533072218503,5,7,W,shoe,2
CDM_photodraw_e11533073144281,5,6,W,cat,2
CDM_photodraw_e11533077186611,5,4,P,cup,2
CDM_photodraw_e11533077186611,5,6,P,train,2
CDM_photodraw_e11533077471951,5,6,W,cat,2
CDM_photodraw_e11533079562976,5,6,S,cup,2
CDM_photodraw_e11533079944053,6,5,W,shoe,2
CDM_photodraw_e11533079944053,6,7,W,cat,2
CDM_photodraw_e11533080485289,4,5,S,cat,2
CDM_photodraw_e11533080485289,4,7,S,cup,2
CDM_photodraw_e11533145985106,4,3,P,train,2
CDM_photodraw_e11533145985106,4,7,P,cup,2
CDM_photodraw_e11533147693749,5,3,S,cat,2
CDM_photodraw_e11533148420272,7,3,P,shoe,2
CDM_photodraw_e11533148420272,7,4,P,rabbit,2
CDM_photodraw_e11533148420272,7,5,P,cat,2
CDM_photodraw_e11533148420272,7,6,P,train,2
CDM_photodraw_e11533148939408,5,3,S,train,2
CDM_photodraw_e11533148939408,5,7,S,cup,2
CDM_photodraw_e11533154273996,5,3,W,rabbit,2
CDM_photodraw_e11533154273996,5,6,W,cup,2
CDM_photodraw_e11533156255593,6,4,W,rabbit,2
CDM_photodraw_e11533156255593,6,5,W,train,2
CDM_photodraw_e11533156546289,7,4,P,cat,2
CDM_photodraw_e11533157120454,5,3,P,train,2
CDM_photodraw_e11533157120454,5,6,P,cat,2
CDM_photodraw_e11533157666476,5,4,W,cat,2
CDM_photodraw_e11533157666476,5,5,W,cup,2
CDM_photodraw_e11533157666476,5,6,W,train,2
CDM_photodraw_e11533158163200,5,6,S,cup,2
CDM_photodraw_e11533158163200,5,7,S,train,2
CDM_photodraw_e11533159385631,6,3,S,cup,2
CDM_photodraw_e11533159385631,6,6,S,shoe,2
CDM_photodraw_e11533159385631,6,7,S,train,2
CDM_photodraw_e11533159607984,5,4,W,train,2
CDM_photodraw_e11533159607984,5,6,W,rabbit,2
CDM_photodraw_e11533160231802,5,3,S,shoe,2
CDM_photodraw_e11533161870392,5,5,S,shoe,2
CDM_photodraw_e11533162144527,5,5,W,cat,2
CDM_photodraw_e11533164692587,4,3,P,rabbit,2
CDM_photodraw_e11533164692587,4,4,P,train,2
