"","workerid","rating","imageName","condition","imNameShort","category","age","sessionId","correct"
"1","a39a0cfcbf4e44546d260ccc1464ca19","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch3/sketches_by_condition_only/P/rabbit_sketch_CDM_photodraw_e11533077186611_P_age5.png","P","rabbit_sketch_CDM_photodraw_e11533077186611_P_age5.png","rabbit",5,"e11533077186611",FALSE
"2","a39a0cfcbf4e44546d260ccc1464ca19","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch3/sketches_by_condition_only/W/shoe_sketch_CDM_photodraw_e11532119809715_W_age7.png","W","shoe_sketch_CDM_photodraw_e11532119809715_W_age7.png","shoe",7,"e11532119809715",TRUE
"3","a39a0cfcbf4e44546d260ccc1464ca19","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch3/sketches_by_condition_only/P/cup_sketch_CDM_photodraw_e11532114278628_P_age5.png","P","cup_sketch_CDM_photodraw_e11532114278628_P_age5.png","cup",5,"e11532114278628",TRUE
"4","a39a0cfcbf4e44546d260ccc1464ca19","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch3/sketches_by_condition_only/S/cup_sketch_CDM_photodraw_e11533161870392_S_age5.png","S","cup_sketch_CDM_photodraw_e11533161870392_S_age5.png","cup",5,"e11533161870392",TRUE
"5","a39a0cfcbf4e44546d260ccc1464ca19","train","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch3/sketches_by_condition_only/P/train_sketch_CDM_photodraw_e11532545713435_P_age6.png","P","train_sketch_CDM_photodraw_e11532545713435_P_age6.png","train",6,"e11532545713435",TRUE
"6","a39a0cfcbf4e44546d260ccc1464ca19","mouse","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch3/sketches_by_condition_only/W/train_sketch_CDM_photodraw_e11533072218503_W_age5.png","W","train_sketch_CDM_photodraw_e11533072218503_W_age5.png","train",5,"e11533072218503",FALSE
"7","a39a0cfcbf4e44546d260ccc1464ca19","cat","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch3/sketches_by_condition_only/S/cat_sketch_CDM_photodraw_e11533158163200_S_age5.png","S","cat_sketch_CDM_photodraw_e11533158163200_S_age5.png","cat",5,"e11533158163200",TRUE
"8","a39a0cfcbf4e44546d260ccc1464ca19","rabbit","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch3/sketches_by_condition_only/W/rabbit_sketch_CDM_photodraw_e11532119809715_W_age7.png","W","rabbit_sketch_CDM_photodraw_e11532119809715_W_age7.png","rabbit",7,"e11532119809715",TRUE
"9","a39a0cfcbf4e44546d260ccc1464ca19","arm","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch3/sketches_by_condition_only/S/train_sketch_CDM_photodraw_e11533161870392_S_age5.png","S","train_sketch_CDM_photodraw_e11533161870392_S_age5.png","train",5,"e11533161870392",FALSE
"10","a39a0cfcbf4e44546d260ccc1464ca19","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch3/sketches_by_condition_only/W/shoe_sketch_CDM_photodraw_e11533154273996_W_age5.png","W","shoe_sketch_CDM_photodraw_e11533154273996_W_age5.png","shoe",5,"e11533154273996",TRUE
