category,condition,subID,image_name,age_numeric,filename
airplane,P,010919_8,images_photocues/airplane_1.png,4,photodraw2_all_sketches/airplane/P_airplane_sketch_age4_CDM_photodraw_e21547071853117.png
airplane,P,010919_7,images_photocues/airplane_2.png,4,photodraw2_all_sketches/airplane/P_airplane_sketch_age4_CDM_photodraw_e21547070395780.png
bike,S,011619_5,images_photocues/bike_3.png,4,photodraw2_all_sketches/bike/S_bike_sketch_age4_CDM_photodraw_e21547668526141.png
bike,S,011619_7,images_photocues/bike_1.png,4,photodraw2_all_sketches/bike/S_bike_sketch_age4_CDM_photodraw_e21547673281903.png
bird,P,110918_1,images_photocues/bird_3.png,4,photodraw2_all_sketches/bird/P_bird_sketch_age4_CDM_photodraw_e21541799408496.png
bird,S,012519_6,images_photocues/bird_3.png,4,photodraw2_all_sketches/bird/S_bird_sketch_age4_CDM_photodraw_e21548455224165.png
car,S,011619_7,images_photocues/car_3.png,4,photodraw2_all_sketches/car/S_car_sketch_age4_CDM_photodraw_e21547673281903.png
car,P,010919_7,images_photocues/car_1.png,4,photodraw2_all_sketches/car/P_car_sketch_age4_CDM_photodraw_e21547070395780.png
cat,P,0111819_10,images_photocues/cat_3.png,4,photodraw2_all_sketches/cat/P_cat_sketch_age4_CDM_photodraw_e21547849860466.png
cat,S,102618_1,images_photocues/cat_2.png,4,photodraw2_all_sketches/cat/S_cat_sketch_age4_CDM_photodraw_e21540576907849.png
chair,P,012519_2,images_photocues/chair_1.png,4,photodraw2_all_sketches/chair/P_chair_sketch_age4_CDM_photodraw_e21548445362792.png
chair,P,0111819_10,images_photocues/chair_2.png,4,photodraw2_all_sketches/chair/P_chair_sketch_age4_CDM_photodraw_e21547849860466.png
cup,S,102618_1,images_photocues/cup_2.png,4,photodraw2_all_sketches/cup/S_cup_sketch_age4_CDM_photodraw_e21540576907849.png
cup,P,020719_1,images_photocues/cup_3.png,4,photodraw2_all_sketches/cup/P_cup_sketch_age4_CDM_photodraw_e21549564465088.png
hat,P,011119_8,images_photocues/hat_3.png,4,photodraw2_all_sketches/hat/P_hat_sketch_age4_CDM_photodraw_e21547241159990.png
hat,S,012519_6,images_photocues/hat_1.png,4,photodraw2_all_sketches/hat/S_hat_sketch_age4_CDM_photodraw_e21548455224165.png
house,S,011119_12,images_photocues/house_1.png,4,photodraw2_all_sketches/house/S_house_sketch_age4_CDM_photodraw_e21547246292717.png
house,S,011119_9,images_photocues/house_3.png,4,photodraw2_all_sketches/house/S_house_sketch_age4_CDM_photodraw_e21547242197593.png
rabbit,S,011619_2,images_photocues/rabbit_2.png,4,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age4_CDM_photodraw_e21547664938821.png
rabbit,S,011619_5,images_photocues/rabbit_2.png,4,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age4_CDM_photodraw_e21547668526141.png
tree,P,O10919_1,images_photocues/tree_1.png,4,photodraw2_all_sketches/tree/P_tree_sketch_age4_CDM_photodraw_e21547060282520.png
tree,S,012519_4,images_photocues/tree_1.png,4,photodraw2_all_sketches/tree/S_tree_sketch_age4_CDM_photodraw_e21548451296118.png
watch,P,011119_9,images_photocues/watch_2.png,4,photodraw2_all_sketches/watch/P_watch_sketch_age4_CDM_photodraw_e21547242197593.png
watch,S,011619_2,images_photocues/watch_1.png,4,photodraw2_all_sketches/watch/S_watch_sketch_age4_CDM_photodraw_e21547664938821.png
airplane,S,111218_2,images_photocues/airplane_3.png,5,photodraw2_all_sketches/airplane/S_airplane_sketch_age5_CDM_photodraw_e21542049031572.png
airplane,S,110218_2,images_photocues/airplane_1.png,5,photodraw2_all_sketches/airplane/S_airplane_sketch_age5_CDM_photodraw_e21541195324779.png
bike,P,112818_2,images_photocues/bike_2.png,5,photodraw2_all_sketches/bike/P_bike_sketch_age5_CDM_photodraw_e21543432563054.png
bike,S,111218_2,images_photocues/bike_1.png,5,photodraw2_all_sketches/bike/S_bike_sketch_age5_CDM_photodraw_e21542049031572.png
bird,S,111218_1,images_photocues/bird_1.png,5,photodraw2_all_sketches/bird/S_bird_sketch_age5_CDM_photodraw_e21542047659207.png
bird,S,121418_1,images_photocues/bird_3.png,5,photodraw2_all_sketches/bird/S_bird_sketch_age5_CDM_photodraw_e21544819304302.png
car,P,010919_3,images_photocues/car_1.png,5,photodraw2_all_sketches/car/P_car_sketch_age5_CDM_photodraw_e21547062251659.png
car,P,121418_3,images_photocues/car_2.png,5,photodraw2_all_sketches/car/P_car_sketch_age5_CDM_photodraw_e21544821083289.png
cat,P,121418_1,images_photocues/cat_3.png,5,photodraw2_all_sketches/cat/P_cat_sketch_age5_CDM_photodraw_e21544819304302.png
cat,P,121218_1,images_photocues/cat_3.png,5,photodraw2_all_sketches/cat/P_cat_sketch_age5_CDM_photodraw_e21544647022478.png
chair,S,111218_8,images_photocues/chair_2.png,5,photodraw2_all_sketches/chair/S_chair_sketch_age5_CDM_photodraw_e21542061442525.png
chair,S,010919_3,images_photocues/chair_2.png,5,photodraw2_all_sketches/chair/S_chair_sketch_age5_CDM_photodraw_e21547062251659.png
cup,P,111218_5,images_photocues/cup_1.png,5,photodraw2_all_sketches/cup/P_cup_sketch_age5_CDM_photodraw_e21542053241209.png
cup,S,010919_4,images_photocues/cup_1.png,5,photodraw2_all_sketches/cup/S_cup_sketch_age5_CDM_photodraw_e21547066393058.png
hat,P,111218_1,images_photocues/hat_2.png,5,photodraw2_all_sketches/hat/P_hat_sketch_age5_CDM_photodraw_e21542047659207.png
hat,P,111218_2,images_photocues/hat_3.png,5,photodraw2_all_sketches/hat/P_hat_sketch_age5_CDM_photodraw_e21542049031572.png
house,S,111218_5,images_photocues/house_3.png,5,photodraw2_all_sketches/house/S_house_sketch_age5_CDM_photodraw_e21542053241209.png
house,S,112818_2,images_photocues/house_2.png,5,photodraw2_all_sketches/house/S_house_sketch_age5_CDM_photodraw_e21543432563054.png
rabbit,S,111418_1,images_photocues/rabbit_3.png,5,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age5_CDM_photodraw_e21542218678125.png
rabbit,P,181219_1,images_photocues/rabbit_3.png,5,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age5_CDM_photodraw_e21545243809095.png
tree,S,121218_1,images_photocues/tree_2.png,5,photodraw2_all_sketches/tree/S_tree_sketch_age5_CDM_photodraw_e21544647022478.png
tree,P,112818_1,images_photocues/tree_3.png,5,photodraw2_all_sketches/tree/P_tree_sketch_age5_CDM_photodraw_e21543430495947.png
watch,S,112818_1,images_photocues/watch_3.png,5,photodraw2_all_sketches/watch/S_watch_sketch_age5_CDM_photodraw_e21543430495947.png
watch,P,111218_5,images_photocues/watch_2.png,5,photodraw2_all_sketches/watch/P_watch_sketch_age5_CDM_photodraw_e21542053241209.png
airplane,P,121819_2,images_photocues/airplane_2.png,6,photodraw2_all_sketches/airplane/P_airplane_sketch_age6_CDM_photodraw_e21545255128573.png
airplane,P,111218_4,images_photocues/airplane_1.png,6,photodraw2_all_sketches/airplane/P_airplane_sketch_age6_CDM_photodraw_e21542050776864.png
bike,S,103118_2,images_photocues/bike_1.png,6,photodraw2_all_sketches/bike/S_bike_sketch_age6_CDM_photodraw_e21541017927896.png
bike,S,011819_5,images_photocues/bike_2.png,6,photodraw2_all_sketches/bike/S_bike_sketch_age6_CDM_photodraw_e21547845453981.png
bird,P,011119_4,images_photocues/bird_2.png,6,photodraw2_all_sketches/bird/P_bird_sketch_age6_CDM_photodraw_e21547237271293.png
bird,P,111218_4,images_photocues/bird_1.png,6,photodraw2_all_sketches/bird/P_bird_sketch_age6_CDM_photodraw_e21542050776864.png
car,P,111418_2,images_photocues/car_1.png,6,photodraw2_all_sketches/car/P_car_sketch_age6_CDM_photodraw_e21542220695445.png
car,S,011819_5,images_photocues/car_1.png,6,photodraw2_all_sketches/car/S_car_sketch_age6_CDM_photodraw_e21547845453981.png
cat,S,011119_4,images_photocues/cat_3.png,6,photodraw2_all_sketches/cat/S_cat_sketch_age6_CDM_photodraw_e21547237271293.png
cat,P,103118_2,images_photocues/cat_3.png,6,photodraw2_all_sketches/cat/P_cat_sketch_age6_CDM_photodraw_e21541017927896.png
chair,S,011119_3,images_photocues/chair_1.png,6,photodraw2_all_sketches/chair/S_chair_sketch_age6_CDM_photodraw_e21547232670235.png
chair,P,110718_1,images_photocues/chair_2.png,6,photodraw2_all_sketches/chair/P_chair_sketch_age6_CDM_photodraw_e21541613545900.png
cup,P,011119_3,images_photocues/cup_1.png,6,photodraw2_all_sketches/cup/P_cup_sketch_age6_CDM_photodraw_e21547232670235.png
cup,S,012119_1,images_photocues/cup_3.png,6,photodraw2_all_sketches/cup/S_cup_sketch_age6_CDM_photodraw_e21548094649748.png
hat,S,011619_4,images_photocues/hat_1.png,6,photodraw2_all_sketches/hat/S_hat_sketch_age6_CDM_photodraw_e21547668018017.png
hat,P,111418_4,images_photocues/hat_1.png,6,photodraw2_all_sketches/hat/P_hat_sketch_age6_CDM_photodraw_e21542224218088.png
house,S,011119_3,images_photocues/house_2.png,6,photodraw2_all_sketches/house/S_house_sketch_age6_CDM_photodraw_e21547232670235.png
house,S,011819_3,images_photocues/house_3.png,6,photodraw2_all_sketches/house/S_house_sketch_age6_CDM_photodraw_e21547836732785.png
rabbit,P,103118_1,images_photocues/rabbit_2.png,6,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age6_CDM_photodraw_e21541008354503.png
rabbit,P,011819_3,images_photocues/rabbit_1.png,6,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age6_CDM_photodraw_e21547836732785.png
tree,S,111418_2,images_photocues/tree_1.png,6,photodraw2_all_sketches/tree/S_tree_sketch_age6_CDM_photodraw_e21542220695445.png
tree,S,110718_1,images_photocues/tree_2.png,6,photodraw2_all_sketches/tree/S_tree_sketch_age6_CDM_photodraw_e21541613545900.png
watch,S,011819_1,images_photocues/watch_3.png,6,photodraw2_all_sketches/watch/S_watch_sketch_age6_CDM_photodraw_e21547834597252.png
watch,P,111218_4,images_photocues/watch_1.png,6,photodraw2_all_sketches/watch/P_watch_sketch_age6_CDM_photodraw_e21542050776864.png
airplane,P,190130_1,images_photocues/airplane_1.png,7,photodraw2_all_sketches/airplane/P_airplane_sketch_age7_CDM_photodraw_e21548873811739.png
airplane,S,011119_13,images_photocues/airplane_3.png,7,photodraw2_all_sketches/airplane/S_airplane_sketch_age7_CDM_photodraw_e21547247873170.png
bike,P,012519_5,images_photocues/bike_1.png,7,photodraw2_all_sketches/bike/P_bike_sketch_age7_CDM_photodraw_e21548451831175.png
bike,S,012119_11,images_photocues/bike_3.png,7,photodraw2_all_sketches/bike/S_bike_sketch_age7_CDM_photodraw_e21548107987673.png
bird,P,012119_6,images_photocues/bird_3.png,7,photodraw2_all_sketches/bird/P_bird_sketch_age7_CDM_photodraw_e21548098930405.png
bird,P,011819_4,images_photocues/bird_3.png,7,photodraw2_all_sketches/bird/P_bird_sketch_age7_CDM_photodraw_e21547844653939.png
car,S,011619_3,images_photocues/car_1.png,7,photodraw2_all_sketches/car/S_car_sketch_age7_CDM_photodraw_e21547667337924.png
car,P,121819_3,images_photocues/car_1.png,7,photodraw2_all_sketches/car/P_car_sketch_age7_CDM_photodraw_e21545255476223.png
cat,P,012519_5,images_photocues/cat_2.png,7,photodraw2_all_sketches/cat/P_cat_sketch_age7_CDM_photodraw_e21548451831175.png
cat,P,011619_3,images_photocues/cat_1.png,7,photodraw2_all_sketches/cat/P_cat_sketch_age7_CDM_photodraw_e21547667337924.png
chair,P,011619_3,images_photocues/chair_2.png,7,photodraw2_all_sketches/chair/P_chair_sketch_age7_CDM_photodraw_e21547667337924.png
chair,P,010919_2,images_photocues/chair_3.png,7,photodraw2_all_sketches/chair/P_chair_sketch_age7_CDM_photodraw_e21547061122742.png
cup,P,011819_4,images_photocues/cup_2.png,7,photodraw2_all_sketches/cup/P_cup_sketch_age7_CDM_photodraw_e21547844653939.png
cup,P,111418_6,images_photocues/cup_1.png,7,photodraw2_all_sketches/cup/P_cup_sketch_age7_CDM_photodraw_e21542224706912.png
hat,P,012119_6,images_photocues/hat_2.png,7,photodraw2_all_sketches/hat/P_hat_sketch_age7_CDM_photodraw_e21548098930405.png
hat,S,012119_3,images_photocues/hat_2.png,7,photodraw2_all_sketches/hat/S_hat_sketch_age7_CDM_photodraw_e21548096758313.png
house,S,012519_1,images_photocues/house_1.png,7,photodraw2_all_sketches/house/S_house_sketch_age7_CDM_photodraw_e21548441283760.png
house,P,012119_5,images_photocues/house_2.png,7,photodraw2_all_sketches/house/P_house_sketch_age7_CDM_photodraw_e21548098146005.png
rabbit,S,013119_1,images_photocues/rabbit_3.png,7,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age7_CDM_photodraw_e21548958550335.png
rabbit,P,012519_5,images_photocues/rabbit_3.png,7,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age7_CDM_photodraw_e21548451831175.png
tree,S,121819_3,images_photocues/tree_1.png,7,photodraw2_all_sketches/tree/S_tree_sketch_age7_CDM_photodraw_e21545255476223.png
