category,condition,subID,image_name,age_numeric,filename
airplane,P,011119_9,images_photocues/airplane_3.png,4,photodraw2_all_sketches/airplane/P_airplane_sketch_age4_CDM_photodraw_e21547242197593.png
airplane,P,110918_1,images_photocues/airplane_2.png,4,photodraw2_all_sketches/airplane/P_airplane_sketch_age4_CDM_photodraw_e21541799408496.png
bike,S,012519_6,images_photocues/bike_1.png,4,photodraw2_all_sketches/bike/S_bike_sketch_age4_CDM_photodraw_e21548455224165.png
bike,S,0111819_10,images_photocues/bike_2.png,4,photodraw2_all_sketches/bike/S_bike_sketch_age4_CDM_photodraw_e21547849860466.png
bird,S,011619_1,images_photocues/bird_1.png,4,photodraw2_all_sketches/bird/S_bird_sketch_age4_CDM_photodraw_e21547663022993.png
bird,S,O10919_1,images_photocues/bird_1.png,4,photodraw2_all_sketches/bird/S_bird_sketch_age4_CDM_photodraw_e21547060282520.png
car,S,011619_2,images_photocues/car_2.png,4,photodraw2_all_sketches/car/S_car_sketch_age4_CDM_photodraw_e21547664938821.png
car,S,011619_1,images_photocues/car_3.png,4,photodraw2_all_sketches/car/S_car_sketch_age4_CDM_photodraw_e21547663022993.png
cat,S,110918_1,images_photocues/cat_2.png,4,photodraw2_all_sketches/cat/S_cat_sketch_age4_CDM_photodraw_e21541799408496.png
cat,P,012519_2,images_photocues/cat_3.png,4,photodraw2_all_sketches/cat/P_cat_sketch_age4_CDM_photodraw_e21548445362792.png
chair,S,011119_8,images_photocues/chair_2.png,4,photodraw2_all_sketches/chair/S_chair_sketch_age4_CDM_photodraw_e21547241159990.png
chair,S,011619_2,images_photocues/chair_1.png,4,photodraw2_all_sketches/chair/S_chair_sketch_age4_CDM_photodraw_e21547664938821.png
cup,S,012519_6,images_photocues/cup_2.png,4,photodraw2_all_sketches/cup/S_cup_sketch_age4_CDM_photodraw_e21548455224165.png
cup,S,011819_2,images_photocues/cup_2.png,4,photodraw2_all_sketches/cup/S_cup_sketch_age4_CDM_photodraw_e21547836177154.png
hat,S,011119_9,images_photocues/hat_3.png,4,photodraw2_all_sketches/hat/S_hat_sketch_age4_CDM_photodraw_e21547242197593.png
hat,P,011119_11,images_photocues/hat_1.png,4,photodraw2_all_sketches/hat/P_hat_sketch_age4_CDM_photodraw_e21547243566891.png
house,P,011119_11,images_photocues/house_3.png,4,photodraw2_all_sketches/house/P_house_sketch_age4_CDM_photodraw_e21547243566891.png
house,S,010919_7,images_photocues/house_1.png,4,photodraw2_all_sketches/house/S_house_sketch_age4_CDM_photodraw_e21547070395780.png
rabbit,P,O10919_1,images_photocues/rabbit_1.png,4,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age4_CDM_photodraw_e21547060282520.png
rabbit,P,102618_1,images_photocues/rabbit_1.png,4,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age4_CDM_photodraw_e21540576907849.png
tree,P,011119_11,images_photocues/tree_1.png,4,photodraw2_all_sketches/tree/P_tree_sketch_age4_CDM_photodraw_e21547243566891.png
tree,S,011819_2,images_photocues/tree_2.png,4,photodraw2_all_sketches/tree/S_tree_sketch_age4_CDM_photodraw_e21547836177154.png
watch,S,011119_11,images_photocues/watch_2.png,4,photodraw2_all_sketches/watch/S_watch_sketch_age4_CDM_photodraw_e21547243566891.png
watch,S,020719_1,images_photocues/watch_2.png,4,photodraw2_all_sketches/watch/S_watch_sketch_age4_CDM_photodraw_e21549564465088.png
airplane,S,111418_3,images_photocues/airplane_1.png,5,photodraw2_all_sketches/airplane/S_airplane_sketch_age5_CDM_photodraw_e21542223602317.png
airplane,P,111218_1,images_photocues/airplane_3.png,5,photodraw2_all_sketches/airplane/P_airplane_sketch_age5_CDM_photodraw_e21542047659207.png
bike,P,111218_8,images_photocues/bike_3.png,5,photodraw2_all_sketches/bike/P_bike_sketch_age5_CDM_photodraw_e21542061442525.png
bike,P,112818_1,images_photocues/bike_3.png,5,photodraw2_all_sketches/bike/P_bike_sketch_age5_CDM_photodraw_e21543430495947.png
bird,P,112818_2,images_photocues/bird_2.png,5,photodraw2_all_sketches/bird/P_bird_sketch_age5_CDM_photodraw_e21543432563054.png
bird,S,111418_3,images_photocues/bird_1.png,5,photodraw2_all_sketches/bird/S_bird_sketch_age5_CDM_photodraw_e21542223602317.png
car,P,110218_2,images_photocues/car_1.png,5,photodraw2_all_sketches/car/P_car_sketch_age5_CDM_photodraw_e21541195324779.png
car,P,111418_5,images_photocues/car_1.png,5,photodraw2_all_sketches/car/P_car_sketch_age5_CDM_photodraw_e21542225408593.png
cat,S,112818_2,images_photocues/cat_1.png,5,photodraw2_all_sketches/cat/S_cat_sketch_age5_CDM_photodraw_e21543432563054.png
cat,S,111218_6,images_photocues/cat_3.png,5,photodraw2_all_sketches/cat/S_cat_sketch_age5_CDM_photodraw_e21542057631101.png
chair,P,121418_1,images_photocues/chair_2.png,5,photodraw2_all_sketches/chair/P_chair_sketch_age5_CDM_photodraw_e21544819304302.png
chair,S,110718_2,images_photocues/chair_3.png,5,photodraw2_all_sketches/chair/S_chair_sketch_age5_CDM_photodraw_e21541616746618.png
cup,S,121218_1,images_photocues/cup_1.png,5,photodraw2_all_sketches/cup/S_cup_sketch_age5_CDM_photodraw_e21544647022478.png
cup,P,110718_2,images_photocues/cup_3.png,5,photodraw2_all_sketches/cup/P_cup_sketch_age5_CDM_photodraw_e21541616746618.png
hat,P,120718_1,images_photocues/hat_3.png,5,photodraw2_all_sketches/hat/P_hat_sketch_age5_CDM_photodraw_e21544206692186.png
hat,P,010919_3,images_photocues/hat_1.png,5,photodraw2_all_sketches/hat/P_hat_sketch_age5_CDM_photodraw_e21547062251659.png
house,S,121418_3,images_photocues/house_3.png,5,photodraw2_all_sketches/house/S_house_sketch_age5_CDM_photodraw_e21544821083289.png
house,S,120718_1,images_photocues/house_1.png,5,photodraw2_all_sketches/house/S_house_sketch_age5_CDM_photodraw_e21544206692186.png
rabbit,P,010919_4,images_photocues/rabbit_3.png,5,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age5_CDM_photodraw_e21547066393058.png
rabbit,P,111418_5,images_photocues/rabbit_1.png,5,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age5_CDM_photodraw_e21542225408593.png
tree,P,111218_1,images_photocues/tree_3.png,5,photodraw2_all_sketches/tree/P_tree_sketch_age5_CDM_photodraw_e21542047659207.png
tree,S,111418_3,images_photocues/tree_3.png,5,photodraw2_all_sketches/tree/S_tree_sketch_age5_CDM_photodraw_e21542223602317.png
watch,S,010919_4,images_photocues/watch_3.png,5,photodraw2_all_sketches/watch/S_watch_sketch_age5_CDM_photodraw_e21547066393058.png
watch,P,111418_3,images_photocues/watch_3.png,5,photodraw2_all_sketches/watch/P_watch_sketch_age5_CDM_photodraw_e21542223602317.png
airplane,S,111418_4,images_photocues/airplane_3.png,6,photodraw2_all_sketches/airplane/S_airplane_sketch_age6_CDM_photodraw_e21542224218088.png
airplane,P,010919_9,images_photocues/airplane_2.png,6,photodraw2_all_sketches/airplane/P_airplane_sketch_age6_CDM_photodraw_e21547073155004.png
bike,P,012119_4,images_photocues/bike_2.png,6,photodraw2_all_sketches/bike/P_bike_sketch_age6_CDM_photodraw_e21548097384364.png
bike,P,010919_9,images_photocues/bike_3.png,6,photodraw2_all_sketches/bike/P_bike_sketch_age6_CDM_photodraw_e21547073155004.png
bird,S,011819_3,images_photocues/bird_3.png,6,photodraw2_all_sketches/bird/S_bird_sketch_age6_CDM_photodraw_e21547836732785.png
bird,P,012119_1,images_photocues/bird_2.png,6,photodraw2_all_sketches/bird/P_bird_sketch_age6_CDM_photodraw_e21548094649748.png
car,P,111418_4,images_photocues/car_3.png,6,photodraw2_all_sketches/car/P_car_sketch_age6_CDM_photodraw_e21542224218088.png
car,S,102618_2,images_photocues/car_3.png,6,photodraw2_all_sketches/car/S_car_sketch_age6_CDM_photodraw_e21540577320461.png
cat,S,111218_4,images_photocues/cat_1.png,6,photodraw2_all_sketches/cat/S_cat_sketch_age6_CDM_photodraw_e21542050776864.png
cat,P,011819_5,images_photocues/cat_1.png,6,photodraw2_all_sketches/cat/P_cat_sketch_age6_CDM_photodraw_e21547845453981.png
chair,P,011819_8,images_photocues/chair_2.png,6,photodraw2_all_sketches/chair/P_chair_sketch_age6_CDM_photodraw_e21547849081297.png
chair,P,011119_1,images_photocues/chair_3.png,6,photodraw2_all_sketches/chair/P_chair_sketch_age6_CDM_photodraw_e21547230596884.png
cup,S,110718_1,images_photocues/cup_1.png,6,photodraw2_all_sketches/cup/S_cup_sketch_age6_CDM_photodraw_e21541613545900.png
cup,S,011819_8,images_photocues/cup_2.png,6,photodraw2_all_sketches/cup/S_cup_sketch_age6_CDM_photodraw_e21547849081297.png
hat,P,102618_2,images_photocues/hat_3.png,6,photodraw2_all_sketches/hat/P_hat_sketch_age6_CDM_photodraw_e21540577320461.png
hat,S,011819_1,images_photocues/hat_3.png,6,photodraw2_all_sketches/hat/S_hat_sketch_age6_CDM_photodraw_e21547834597252.png
house,S,011119_4,images_photocues/house_1.png,6,photodraw2_all_sketches/house/S_house_sketch_age6_CDM_photodraw_e21547237271293.png
house,P,103118_2,images_photocues/house_2.png,6,photodraw2_all_sketches/house/P_house_sketch_age6_CDM_photodraw_e21541017927896.png
rabbit,P,012119_1,images_photocues/rabbit_2.png,6,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age6_CDM_photodraw_e21548094649748.png
rabbit,S,010919_9,images_photocues/rabbit_2.png,6,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age6_CDM_photodraw_e21547073155004.png
tree,S,103118_2,images_photocues/tree_1.png,6,photodraw2_all_sketches/tree/S_tree_sketch_age6_CDM_photodraw_e21541017927896.png
tree,P,011119_1,images_photocues/tree_2.png,6,photodraw2_all_sketches/tree/P_tree_sketch_age6_CDM_photodraw_e21547230596884.png
watch,S,121819_2,images_photocues/watch_3.png,6,photodraw2_all_sketches/watch/S_watch_sketch_age6_CDM_photodraw_e21545255128573.png
watch,S,011819_8,images_photocues/watch_1.png,6,photodraw2_all_sketches/watch/S_watch_sketch_age6_CDM_photodraw_e21547849081297.png
airplane,P,012519_5,images_photocues/airplane_1.png,7,photodraw2_all_sketches/airplane/P_airplane_sketch_age7_CDM_photodraw_e21548451831175.png
airplane,P,012119_10,images_photocues/airplane_1.png,7,photodraw2_all_sketches/airplane/P_airplane_sketch_age7_CDM_photodraw_e21548106388954.png
bike,S,013119_1,images_photocues/bike_3.png,7,photodraw2_all_sketches/bike/S_bike_sketch_age7_CDM_photodraw_e21548958550335.png
bike,S,010919_6,images_photocues/bike_3.png,7,photodraw2_all_sketches/bike/S_bike_sketch_age7_CDM_photodraw_e21547069129052.png
bird,S,012519_5,images_photocues/bird_3.png,7,photodraw2_all_sketches/bird/S_bird_sketch_age7_CDM_photodraw_e21548451831175.png
bird,S,010919_2,images_photocues/bird_3.png,7,photodraw2_all_sketches/bird/S_bird_sketch_age7_CDM_photodraw_e21547061122742.png
car,P,010919_6,images_photocues/car_1.png,7,photodraw2_all_sketches/car/P_car_sketch_age7_CDM_photodraw_e21547069129052.png
car,S,111418_6,images_photocues/car_3.png,7,photodraw2_all_sketches/car/S_car_sketch_age7_CDM_photodraw_e21542224706912.png
cat,P,010919_2,images_photocues/cat_1.png,7,photodraw2_all_sketches/cat/P_cat_sketch_age7_CDM_photodraw_e21547061122742.png
cat,P,012519_1,images_photocues/cat_3.png,7,photodraw2_all_sketches/cat/P_cat_sketch_age7_CDM_photodraw_e21548441283760.png
chair,P,111418_6,images_photocues/chair_3.png,7,photodraw2_all_sketches/chair/P_chair_sketch_age7_CDM_photodraw_e21542224706912.png
chair,S,190130_1,images_photocues/chair_2.png,7,photodraw2_all_sketches/chair/S_chair_sketch_age7_CDM_photodraw_e21548873811739.png
cup,S,010919_6,images_photocues/cup_2.png,7,photodraw2_all_sketches/cup/S_cup_sketch_age7_CDM_photodraw_e21547069129052.png
cup,S,111218_3,images_photocues/cup_2.png,7,photodraw2_all_sketches/cup/S_cup_sketch_age7_CDM_photodraw_e21542049475400.png
hat,S,010919_6,images_photocues/hat_2.png,7,photodraw2_all_sketches/hat/S_hat_sketch_age7_CDM_photodraw_e21547069129052.png
hat,S,111218_3,images_photocues/hat_2.png,7,photodraw2_all_sketches/hat/S_hat_sketch_age7_CDM_photodraw_e21542049475400.png
house,P,011619_3,images_photocues/house_3.png,7,photodraw2_all_sketches/house/P_house_sketch_age7_CDM_photodraw_e21547667337924.png
house,P,011819_7,images_photocues/house_2.png,7,photodraw2_all_sketches/house/P_house_sketch_age7_CDM_photodraw_e21547848462737.png
rabbit,S,010919_6,images_photocues/rabbit_2.png,7,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age7_CDM_photodraw_e21547069129052.png
rabbit,P,111418_6,images_photocues/rabbit_2.png,7,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age7_CDM_photodraw_e21542224706912.png
tree,S,111418_6,images_photocues/tree_3.png,7,photodraw2_all_sketches/tree/S_tree_sketch_age7_CDM_photodraw_e21542224706912.png
tree,P,011819_7,images_photocues/tree_3.png,7,photodraw2_all_sketches/tree/P_tree_sketch_age7_CDM_photodraw_e21547848462737.png
watch,S,111218_3,images_photocues/watch_3.png,7,photodraw2_all_sketches/watch/S_watch_sketch_age7_CDM_photodraw_e21542049475400.png
watch,S,010919_2,images_photocues/watch_1.png,7,photodraw2_all_sketches/watch/S_watch_sketch_age7_CDM_photodraw_e21547061122742.png
airplane,S,011119_2,images_photocues/airplane_3.png,8,photodraw2_all_sketches/airplane/S_airplane_sketch_age8_CDM_photodraw_e21547232289747.png
airplane,P,121818_1,images_photocues/airplane_2.png,8,photodraw2_all_sketches/airplane/P_airplane_sketch_age8_CDM_photodraw_e21545166957201.png
bike,S,022019_1,images_photocues/bike_3.png,8,photodraw2_all_sketches/bike/S_bike_sketch_age8_CDM_photodraw_e21550687622483.png
bike,P,011619_9,images_photocues/bike_1.png,8,photodraw2_all_sketches/bike/P_bike_sketch_age8_CDM_photodraw_e21547677339884.png
bird,S,121818_1,images_photocues/bird_1.png,8,photodraw2_all_sketches/bird/S_bird_sketch_age8_CDM_photodraw_e21545166957201.png
bird,P,022019_3,images_photocues/bird_3.png,8,photodraw2_all_sketches/bird/P_bird_sketch_age8_CDM_photodraw_e21550690726876.png
car,S,020819_1,images_photocues/car_1.png,8,photodraw2_all_sketches/car/S_car_sketch_age8_CDM_photodraw_e21549650853022.png
car,S,022019_1,images_photocues/car_3.png,8,photodraw2_all_sketches/car/S_car_sketch_age8_CDM_photodraw_e21550687622483.png
cat,S,011819_6,images_photocues/cat_2.png,8,photodraw2_all_sketches/cat/S_cat_sketch_age8_CDM_photodraw_e21547845878342.png
cat,P,022019_5,images_photocues/cat_3.png,8,photodraw2_all_sketches/cat/P_cat_sketch_age8_CDM_photodraw_e21550696453174.png
chair,P,022019_5,images_photocues/chair_3.png,8,photodraw2_all_sketches/chair/P_chair_sketch_age8_CDM_photodraw_e21550696453174.png
chair,P,011819_6,images_photocues/chair_1.png,8,photodraw2_all_sketches/chair/P_chair_sketch_age8_CDM_photodraw_e21547845878342.png
cup,S,012119_7,images_photocues/cup_3.png,8,photodraw2_all_sketches/cup/S_cup_sketch_age8_CDM_photodraw_e21548100335223.png
cup,S,022019_4,images_photocues/cup_2.png,8,photodraw2_all_sketches/cup/S_cup_sketch_age8_CDM_photodraw_e21550694845595.png
hat,S,011619_8,images_photocues/hat_3.png,8,photodraw2_all_sketches/hat/S_hat_sketch_age8_CDM_photodraw_e21547674347301.png
hat,P,022019_6,images_photocues/hat_3.png,8,photodraw2_all_sketches/hat/P_hat_sketch_age8_CDM_photodraw_e21550698482522.png
house,S,022019_3,images_photocues/house_3.png,8,photodraw2_all_sketches/house/S_house_sketch_age8_CDM_photodraw_e21550690726876.png
house,P,020819_1,images_photocues/house_2.png,8,photodraw2_all_sketches/house/P_house_sketch_age8_CDM_photodraw_e21549650853022.png
rabbit,P,012119_9,images_photocues/rabbit_1.png,8,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age8_CDM_photodraw_e21548105648196.png
rabbit,S,022019_5,images_photocues/rabbit_1.png,8,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age8_CDM_photodraw_e21550696453174.png
tree,S,022019_1,images_photocues/tree_3.png,8,photodraw2_all_sketches/tree/S_tree_sketch_age8_CDM_photodraw_e21550687622483.png
tree,S,022019_6,images_photocues/tree_2.png,8,photodraw2_all_sketches/tree/S_tree_sketch_age8_CDM_photodraw_e21550698482522.png
watch,S,022019_3,images_photocues/watch_3.png,8,photodraw2_all_sketches/watch/S_watch_sketch_age8_CDM_photodraw_e21550690726876.png
watch,S,011619_9,images_photocues/watch_2.png,8,photodraw2_all_sketches/watch/S_watch_sketch_age8_CDM_photodraw_e21547677339884.png
