category,condition,subID,image_name,age_numeric,filename
airplane,P,011819_2,images_photocues/airplane_1.png,4,photodraw2_all_sketches/airplane/P_airplane_sketch_age4_CDM_photodraw_e21547836177154.png
airplane,S,020719_1,images_photocues/airplane_1.png,4,photodraw2_all_sketches/airplane/S_airplane_sketch_age4_CDM_photodraw_e21549564465088.png
bike,P,011619_1,images_photocues/bike_1.png,4,photodraw2_all_sketches/bike/P_bike_sketch_age4_CDM_photodraw_e21547663022993.png
bike,S,020719_1,images_photocues/bike_1.png,4,photodraw2_all_sketches/bike/S_bike_sketch_age4_CDM_photodraw_e21549564465088.png
bird,P,011619_2,images_photocues/bird_1.png,4,photodraw2_all_sketches/bird/P_bird_sketch_age4_CDM_photodraw_e21547664938821.png
bird,P,010919_7,images_photocues/bird_1.png,4,photodraw2_all_sketches/bird/P_bird_sketch_age4_CDM_photodraw_e21547070395780.png
car,S,011619_5,images_photocues/car_1.png,4,photodraw2_all_sketches/car/S_car_sketch_age4_CDM_photodraw_e21547668526141.png
car,S,010919_8,images_photocues/car_3.png,4,photodraw2_all_sketches/car/S_car_sketch_age4_CDM_photodraw_e21547071853117.png
cat,S,011619_7,images_photocues/cat_3.png,4,photodraw2_all_sketches/cat/S_cat_sketch_age4_CDM_photodraw_e21547673281903.png
cat,S,011619_6,images_photocues/cat_2.png,4,photodraw2_all_sketches/cat/S_cat_sketch_age4_CDM_photodraw_e21547672389753.png
chair,S,012519_6,images_photocues/chair_2.png,4,photodraw2_all_sketches/chair/S_chair_sketch_age4_CDM_photodraw_e21548455224165.png
chair,S,011119_11,images_photocues/chair_1.png,4,photodraw2_all_sketches/chair/S_chair_sketch_age4_CDM_photodraw_e21547243566891.png
cup,S,011619_6,images_photocues/cup_1.png,4,photodraw2_all_sketches/cup/S_cup_sketch_age4_CDM_photodraw_e21547672389753.png
cup,P,010919_8,images_photocues/cup_3.png,4,photodraw2_all_sketches/cup/P_cup_sketch_age4_CDM_photodraw_e21547071853117.png
hat,P,010919_7,images_photocues/hat_1.png,4,photodraw2_all_sketches/hat/P_hat_sketch_age4_CDM_photodraw_e21547070395780.png
hat,S,012519_4,images_photocues/hat_1.png,4,photodraw2_all_sketches/hat/S_hat_sketch_age4_CDM_photodraw_e21548451296118.png
house,P,O10919_1,images_photocues/house_2.png,4,photodraw2_all_sketches/house/P_house_sketch_age4_CDM_photodraw_e21547060282520.png
house,P,010919_8,images_photocues/house_2.png,4,photodraw2_all_sketches/house/P_house_sketch_age4_CDM_photodraw_e21547071853117.png
rabbit,P,012519_6,images_photocues/rabbit_2.png,4,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age4_CDM_photodraw_e21548455224165.png
rabbit,S,012519_4,images_photocues/rabbit_3.png,4,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age4_CDM_photodraw_e21548451296118.png
tree,S,011119_8,images_photocues/tree_3.png,4,photodraw2_all_sketches/tree/S_tree_sketch_age4_CDM_photodraw_e21547241159990.png
tree,P,011619_2,images_photocues/tree_2.png,4,photodraw2_all_sketches/tree/P_tree_sketch_age4_CDM_photodraw_e21547664938821.png
watch,S,011119_8,images_photocues/watch_1.png,4,photodraw2_all_sketches/watch/S_watch_sketch_age4_CDM_photodraw_e21547241159990.png
watch,P,012519_4,images_photocues/watch_2.png,4,photodraw2_all_sketches/watch/P_watch_sketch_age4_CDM_photodraw_e21548451296118.png
airplane,P,111418_5,images_photocues/airplane_1.png,5,photodraw2_all_sketches/airplane/P_airplane_sketch_age5_CDM_photodraw_e21542225408593.png
airplane,S,112818_1,images_photocues/airplane_3.png,5,photodraw2_all_sketches/airplane/S_airplane_sketch_age5_CDM_photodraw_e21543430495947.png
bike,S,110218_1,images_photocues/bike_2.png,5,photodraw2_all_sketches/bike/S_bike_sketch_age5_CDM_photodraw_e21541191137910.png
bike,S,120718_1,images_photocues/bike_2.png,5,photodraw2_all_sketches/bike/S_bike_sketch_age5_CDM_photodraw_e21544206692186.png
bird,P,111218_8,images_photocues/bird_3.png,5,photodraw2_all_sketches/bird/P_bird_sketch_age5_CDM_photodraw_e21542061442525.png
bird,S,111418_1,images_photocues/bird_1.png,5,photodraw2_all_sketches/bird/S_bird_sketch_age5_CDM_photodraw_e21542218678125.png
car,P,121418_1,images_photocues/car_2.png,5,photodraw2_all_sketches/car/P_car_sketch_age5_CDM_photodraw_e21544819304302.png
car,P,111218_2,images_photocues/car_1.png,5,photodraw2_all_sketches/car/P_car_sketch_age5_CDM_photodraw_e21542049031572.png
cat,S,010919_3,images_photocues/cat_3.png,5,photodraw2_all_sketches/cat/S_cat_sketch_age5_CDM_photodraw_e21547062251659.png
cat,P,112818_1,images_photocues/cat_3.png,5,photodraw2_all_sketches/cat/P_cat_sketch_age5_CDM_photodraw_e21543430495947.png
chair,P,111418_5,images_photocues/chair_3.png,5,photodraw2_all_sketches/chair/P_chair_sketch_age5_CDM_photodraw_e21542225408593.png
chair,S,121218_1,images_photocues/chair_1.png,5,photodraw2_all_sketches/chair/S_chair_sketch_age5_CDM_photodraw_e21544647022478.png
cup,P,111218_6,images_photocues/cup_2.png,5,photodraw2_all_sketches/cup/P_cup_sketch_age5_CDM_photodraw_e21542057631101.png
cup,P,121418_3,images_photocues/cup_1.png,5,photodraw2_all_sketches/cup/P_cup_sketch_age5_CDM_photodraw_e21544821083289.png
hat,P,111218_8,images_photocues/hat_1.png,5,photodraw2_all_sketches/hat/P_hat_sketch_age5_CDM_photodraw_e21542061442525.png
hat,S,112818_1,images_photocues/hat_2.png,5,photodraw2_all_sketches/hat/S_hat_sketch_age5_CDM_photodraw_e21543430495947.png
house,S,010919_4,images_photocues/house_2.png,5,photodraw2_all_sketches/house/S_house_sketch_age5_CDM_photodraw_e21547066393058.png
house,P,121218_1,images_photocues/house_3.png,5,photodraw2_all_sketches/house/P_house_sketch_age5_CDM_photodraw_e21544647022478.png
rabbit,P,110218_1,images_photocues/rabbit_3.png,5,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age5_CDM_photodraw_e21541191137910.png
rabbit,P,111218_2,images_photocues/rabbit_3.png,5,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age5_CDM_photodraw_e21542049031572.png
tree,S,111218_5,images_photocues/tree_1.png,5,photodraw2_all_sketches/tree/S_tree_sketch_age5_CDM_photodraw_e21542053241209.png
tree,P,111218_8,images_photocues/tree_1.png,5,photodraw2_all_sketches/tree/P_tree_sketch_age5_CDM_photodraw_e21542061442525.png
watch,P,111218_8,images_photocues/watch_1.png,5,photodraw2_all_sketches/watch/P_watch_sketch_age5_CDM_photodraw_e21542061442525.png
watch,P,111418_1,images_photocues/watch_1.png,5,photodraw2_all_sketches/watch/P_watch_sketch_age5_CDM_photodraw_e21542218678125.png
airplane,S,011819_8,images_photocues/airplane_2.png,6,photodraw2_all_sketches/airplane/S_airplane_sketch_age6_CDM_photodraw_e21547849081297.png
airplane,P,011119_7,images_photocues/airplane_3.png,6,photodraw2_all_sketches/airplane/P_airplane_sketch_age6_CDM_photodraw_e21547240775263.png
bike,S,011119_7,images_photocues/bike_1.png,6,photodraw2_all_sketches/bike/S_bike_sketch_age6_CDM_photodraw_e21547240775263.png
bike,P,121819_2,images_photocues/bike_2.png,6,photodraw2_all_sketches/bike/P_bike_sketch_age6_CDM_photodraw_e21545255128573.png
bird,P,011619_4,images_photocues/bird_2.png,6,photodraw2_all_sketches/bird/P_bird_sketch_age6_CDM_photodraw_e21547668018017.png
bird,S,011119_3,images_photocues/bird_2.png,6,photodraw2_all_sketches/bird/S_bird_sketch_age6_CDM_photodraw_e21547232670235.png
car,P,010919_9,images_photocues/car_2.png,6,photodraw2_all_sketches/car/P_car_sketch_age6_CDM_photodraw_e21547073155004.png
car,P,011619_4,images_photocues/car_1.png,6,photodraw2_all_sketches/car/P_car_sketch_age6_CDM_photodraw_e21547668018017.png
cat,S,011819_1,images_photocues/cat_1.png,6,photodraw2_all_sketches/cat/S_cat_sketch_age6_CDM_photodraw_e21547834597252.png
cat,S,011119_3,images_photocues/cat_2.png,6,photodraw2_all_sketches/cat/S_cat_sketch_age6_CDM_photodraw_e21547232670235.png
chair,P,011819_1,images_photocues/chair_3.png,6,photodraw2_all_sketches/chair/P_chair_sketch_age6_CDM_photodraw_e21547834597252.png
chair,P,010919_9,images_photocues/chair_3.png,6,photodraw2_all_sketches/chair/P_chair_sketch_age6_CDM_photodraw_e21547073155004.png
cup,S,010919_9,images_photocues/cup_1.png,6,photodraw2_all_sketches/cup/S_cup_sketch_age6_CDM_photodraw_e21547073155004.png
cup,S,111218_4,images_photocues/cup_3.png,6,photodraw2_all_sketches/cup/S_cup_sketch_age6_CDM_photodraw_e21542050776864.png
hat,S,103118_2,images_photocues/hat_1.png,6,photodraw2_all_sketches/hat/S_hat_sketch_age6_CDM_photodraw_e21541017927896.png
hat,P,011119_3,images_photocues/hat_3.png,6,photodraw2_all_sketches/hat/P_hat_sketch_age6_CDM_photodraw_e21547232670235.png
house,S,012119_1,images_photocues/house_2.png,6,photodraw2_all_sketches/house/S_house_sketch_age6_CDM_photodraw_e21548094649748.png
house,S,012119_4,images_photocues/house_3.png,6,photodraw2_all_sketches/house/S_house_sketch_age6_CDM_photodraw_e21548097384364.png
rabbit,S,011819_8,images_photocues/rabbit_3.png,6,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age6_CDM_photodraw_e21547849081297.png
rabbit,S,011619_4,images_photocues/rabbit_3.png,6,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age6_CDM_photodraw_e21547668018017.png
tree,S,011109_5,images_photocues/tree_3.png,6,photodraw2_all_sketches/tree/S_tree_sketch_age6_CDM_photodraw_e21547238095569.png
tree,S,103118_1,images_photocues/tree_3.png,6,photodraw2_all_sketches/tree/S_tree_sketch_age6_CDM_photodraw_e21541008354503.png
watch,P,012119_1,images_photocues/watch_2.png,6,photodraw2_all_sketches/watch/P_watch_sketch_age6_CDM_photodraw_e21548094649748.png
watch,S,011119_4,images_photocues/watch_2.png,6,photodraw2_all_sketches/watch/S_watch_sketch_age6_CDM_photodraw_e21547237271293.png
airplane,P,012519_1,images_photocues/airplane_1.png,7,photodraw2_all_sketches/airplane/P_airplane_sketch_age7_CDM_photodraw_e21548441283760.png
airplane,P,010919_6,images_photocues/airplane_3.png,7,photodraw2_all_sketches/airplane/P_airplane_sketch_age7_CDM_photodraw_e21547069129052.png
