category,condition,subID,image_name,age_numeric,filename
airplane,S,011619_7,images_photocues/airplane_1.png,4,photodraw2_all_sketches/airplane/S_airplane_sketch_age4_CDM_photodraw_e21547673281903.png
airplane,P,011619_1,images_photocues/airplane_3.png,4,photodraw2_all_sketches/airplane/P_airplane_sketch_age4_CDM_photodraw_e21547663022993.png
bike,P,010919_8,images_photocues/bike_3.png,4,photodraw2_all_sketches/bike/P_bike_sketch_age4_CDM_photodraw_e21547071853117.png
bike,P,011119_11,images_photocues/bike_1.png,4,photodraw2_all_sketches/bike/P_bike_sketch_age4_CDM_photodraw_e21547243566891.png
bird,S,011619_5,images_photocues/bird_3.png,4,photodraw2_all_sketches/bird/S_bird_sketch_age4_CDM_photodraw_e21547668526141.png
bird,P,011119_9,images_photocues/bird_3.png,4,photodraw2_all_sketches/bird/P_bird_sketch_age4_CDM_photodraw_e21547242197593.png
car,P,011619_6,images_photocues/car_2.png,4,photodraw2_all_sketches/car/P_car_sketch_age4_CDM_photodraw_e21547672389753.png
car,S,O10919_1,images_photocues/car_2.png,4,photodraw2_all_sketches/car/S_car_sketch_age4_CDM_photodraw_e21547060282520.png
cat,S,O10919_1,images_photocues/cat_3.png,4,photodraw2_all_sketches/cat/S_cat_sketch_age4_CDM_photodraw_e21547060282520.png
cat,S,012519_4,images_photocues/cat_2.png,4,photodraw2_all_sketches/cat/S_cat_sketch_age4_CDM_photodraw_e21548451296118.png
chair,P,010919_7,images_photocues/chair_3.png,4,photodraw2_all_sketches/chair/P_chair_sketch_age4_CDM_photodraw_e21547070395780.png
chair,P,011619_7,images_photocues/chair_1.png,4,photodraw2_all_sketches/chair/P_chair_sketch_age4_CDM_photodraw_e21547673281903.png
cup,S,010919_7,images_photocues/cup_1.png,4,photodraw2_all_sketches/cup/S_cup_sketch_age4_CDM_photodraw_e21547070395780.png
cup,P,011619_1,images_photocues/cup_1.png,4,photodraw2_all_sketches/cup/P_cup_sketch_age4_CDM_photodraw_e21547663022993.png
hat,S,011819_2,images_photocues/hat_2.png,4,photodraw2_all_sketches/hat/S_hat_sketch_age4_CDM_photodraw_e21547836177154.png
hat,P,0111819_10,images_photocues/hat_2.png,4,photodraw2_all_sketches/hat/P_hat_sketch_age4_CDM_photodraw_e21547849860466.png
house,S,011619_6,images_photocues/house_1.png,4,photodraw2_all_sketches/house/S_house_sketch_age4_CDM_photodraw_e21547672389753.png
house,S,020719_1,images_photocues/house_1.png,4,photodraw2_all_sketches/house/S_house_sketch_age4_CDM_photodraw_e21549564465088.png
