"","sketchName","age","sessionId","sketch_img_name","category"
"1","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31528499399037.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31528499399037.png","rabbit"
"2","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31530480400108.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31530480400108.png","rabbit"
"3","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31530733127648.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31530733127648.png","rabbit"
"4","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31529271233301.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31529271233301.png","rabbit"
"5","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31528845599021.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31528845599021.png","rabbit"
"6","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31530744749634.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31530744749634.png","rabbit"
"7","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31532119480468.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31532119480468.png","rabbit"
"8","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31530398644776.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31530398644776.png","rabbit"
"9","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31530310159455.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31530310159455.png","rabbit"
"10","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31531340517880.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31531340517880.png","rabbit"
"11","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31530390885520.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31530390885520.png","rabbit"
"12","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31529092415344.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31529092415344.png","rabbit"
"13","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31531692039108.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31531692039108.png","rabbit"
"14","rabbit/age4/a rabbit_sketch_age4_cdm_run_v31532196800622.png","age4","cdm_run_v31527964199379","rabbit_sketch_age4_cdm_run_v31532196800622.png","rabbit"
