"","age","sessionId","sketch_img_name","category"
"1","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41542065916564.png","bear"
"2","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41548111205402.png","bear"
"3","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41541977879701.png","bear"
"4","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41543098642212.png","bear"
"5","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41548030070755.png","bear"
"6","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41546042047480.png","bear"
"7","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41549740883837.png","bear"
"8","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41536957678876.png","bear"
"9","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41549051716598.png","bear"
"10","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41547584953408.png","bear"
"11","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41550789330337.png","bear"
"12","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41542408681480.png","bear"
"13","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41541377708430.png","bear"
"14","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41546034282139.png","bear"
"15","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41548110965174.png","bear"
"16","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41541534066681.png","bear"
"17","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41541977171207.png","bear"
"18","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41547328840121.png","bear"
"19","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41548030465618.png","bear"
"20","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41546123091990.png","bear"
"21","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41543188476453.png","bear"
"22","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41545951302905.png","bear"
"23","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41546207870431.png","bear"
"24","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41545956201538.png","bear"
"25","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41543435172271.png","bear"
"26","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41546204857329.png","bear"
"27","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41548192899494.png","bear"
"28","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41536436515000.png","bear"
"29","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41550444891547.png","bear"
"30","age4","cdm_run_v41536446273758","bear_sketch_age4_cdm_run_v41541366640055.png","bear"
"31","age4","cdm_run_v41536446273758","camel_sketch_age4_cdm_run_v51557010277935.png","camel"
"32","age4","cdm_run_v41536446273758","camel_sketch_age4_cdm_run_v51552256728578.png","camel"
"33","age4","cdm_run_v41536446273758","camel_sketch_age4_cdm_run_v51558998501967.png","camel"
"34","age4","cdm_run_v41536446273758","camel_sketch_age4_cdm_run_v51553985292374.png","camel"
"35","age4","cdm_run_v41536446273758","camel_sketch_age4_cdm_run_v51551656074208.png","camel"
"36","age4","cdm_run_v41536446273758","camel_sketch_age4_cdm_run_v51558914810301.png","camel"
"37","age4","cdm_run_v41536446273758","camel_sketch_age4_cdm_run_v51554493525362.png","camel"
"38","age4","cdm_run_v41536446273758","camel_sketch_age4_cdm_run_v51557607263137.png","camel"
"39","age4","cdm_run_v41536446273758","camel_sketch_age4_cdm_run_v51553813112389.png","camel"
"40","age4","cdm_run_v41536446273758","camel_sketch_age4_cdm_run_v51557614837755.png","camel"
"41","age4","cdm_run_v41536446273758","camel_sketch_age4_cdm_run_v51556313888656.png","camel"
"42","age4","cdm_run_v41536446273758","camel_sketch_age4_cdm_run_v51554414374863.png","camel"
"43","age4","cdm_run_v41536446273758","camel_sketch_age4_cdm_run_v51552075398727.png","camel"
