"","age","sessionId","sketch_img_name","category"
"1","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51557607797157.png","bottle"
"2","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51556051229554.png","bottle"
"3","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51556145723175.png","bottle"
"4","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51555010203425.png","bottle"
"5","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51555965987709.png","bottle"
"6","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51554498928718.png","bottle"
"7","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51559078059260.png","bottle"
"8","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51559680279445.png","bottle"
"9","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51555802250627.png","bottle"
"10","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51553809821956.png","bottle"
"11","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51551658620303.png","bottle"
"12","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51559507527177.png","bottle"
"13","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51558912062464.png","bottle"
"14","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51552770514069.png","bottle"
"15","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51556826595950.png","bottle"
"16","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51553985292374.png","bottle"
"17","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51552166001545.png","bottle"
"18","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51558478594246.png","bottle"
"19","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51558204026305.png","bottle"
"20","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51552415991829.png","bottle"
"21","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51558307308365.png","bottle"
"22","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51552254257471.png","bottle"
"23","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51551568336375.png","bottle"
"24","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51560016874785.png","bottle"
"25","age4","cdm_run_v51551572768941","bottle_sketch_age4_cdm_run_v51556046142330.png","bottle"
"26","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51558301584204.png","hat"
"27","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51556219648695.png","hat"
"28","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51558307308365.png","hat"
"29","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51559083327293.png","hat"
"30","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51556145723175.png","hat"
"31","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51557010597428.png","hat"
"32","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51552770188636.png","hat"
"33","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51560019548657.png","hat"
"34","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51560289969340.png","hat"
"35","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51557607263137.png","hat"
"36","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51553809821956.png","hat"
"37","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51554234210400.png","hat"
"38","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51559077223169.png","hat"
"39","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51558046826171.png","hat"
"40","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51552858078304.png","hat"
"41","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51559083773923.png","hat"
"42","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51556492287573.png","hat"
"43","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51559948970558.png","hat"
"44","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51560289714326.png","hat"
"45","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51557608656445.png","hat"
"46","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51556307617323.png","hat"
"47","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51551820814958.png","hat"
"48","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51555965987709.png","hat"
"49","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51557512497492.png","hat"
"50","age4","cdm_run_v51551572768941","hat_sketch_age4_cdm_run_v51559075634200.png","hat"
"51","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51554327800856.png","lamp"
"52","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51557607797157.png","lamp"
"53","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51554489377844.png","lamp"
"54","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51554677239378.png","lamp"
"55","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51555706828699.png","lamp"
"56","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51553117783837.png","lamp"
"57","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51560203953973.png","lamp"
"58","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51559075634200.png","lamp"
"59","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51558904361424.png","lamp"
"60","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51558994251937.png","lamp"
"61","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51558306912586.png","lamp"
"62","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51559077223169.png","lamp"
"63","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51554414374863.png","lamp"
"64","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51558042718978.png","lamp"
"65","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51555611854739.png","lamp"
"66","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51556837523428.png","lamp"
"67","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51558461569095.png","lamp"
"68","age4","cdm_run_v51551572768941","lamp_sketch_age4_cdm_run_v51552081143539.png","lamp"
