"","age","sessionId","sketch_img_name","category"
"1","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31531946401147.png","bowl"
"2","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31528324990435.png","bowl"
"3","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31529017447804.png","bowl"
"4","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530480400108.png","bowl"
"5","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31532119480468.png","bowl"
"6","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31529619766046.png","bowl"
"7","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31529092199275.png","bowl"
"8","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530390885520.png","bowl"
"9","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31528585199054.png","bowl"
"10","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31531516618234.png","bowl"
"11","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31532042260290.png","bowl"
"12","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31531941504435.png","bowl"
"13","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530567206127.png","bowl"
"14","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530482097386.png","bowl"
"15","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530733127648.png","bowl"
"16","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31529187760457.png","bowl"
"17","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530556401391.png","bowl"
"18","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31529263799251.png","bowl"
"19","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530744309602.png","bowl"
"20","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31528581653329.png","bowl"
"21","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31529358345012.png","bowl"
"22","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31527970799228.png","bowl"
"23","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530310159455.png","bowl"
"24","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530401539082.png","bowl"
"25","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31531340517880.png","bowl"
"26","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41548271086186.png","key"
"27","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41550603498044.png","key"
"28","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41551291989169.png","key"
"29","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41541193373691.png","key"
"30","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41548113327690.png","key"
"31","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41543188476453.png","key"
"32","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41551303772351.png","key"
"33","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41541891061699.png","key"
"34","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41547230004943.png","key"
"35","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41545004761980.png","key"
"36","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41542062654769.png","key"
"37","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41550260570664.png","key"
"38","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41549843449758.png","key"
"39","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41541377708430.png","key"
"40","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41543013150116.png","key"
"41","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41544222111305.png","key"
"42","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41536864789035.png","key"
"43","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41545331543732.png","key"
"44","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41540504608513.png","key"
"45","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41550435107748.png","key"
"46","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41546117216648.png","key"
"47","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41536863500898.png","key"
"48","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41548110965174.png","key"
"49","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41541977879701.png","key"
"50","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41549757174008.png","key"
"51","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41537656198436.png","scissors"
"52","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41541193373691.png","scissors"
"53","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41550012026409.png","scissors"
"54","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41537566219317.png","scissors"
"55","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41547674466017.png","scissors"
"56","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41547067970027.png","scissors"
"57","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41544306813972.png","scissors"
"58","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41545938359462.png","scissors"
"59","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41544556220329.png","scissors"
"60","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41547420448258.png","scissors"
"61","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41546207621039.png","scissors"
