"","age","sessionId","sketch_img_name","category"
"1","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31529263799251.png","bowl"
"2","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31527969790348.png","bowl"
"3","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31529180673021.png","bowl"
"4","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530573397476.png","bowl"
"5","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31528585199054.png","bowl"
"6","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31531946401147.png","bowl"
"7","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31532111078231.png","bowl"
"8","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31531505500838.png","bowl"
"9","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31529518268893.png","bowl"
"10","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530744749634.png","bowl"
"11","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31529358345012.png","bowl"
"12","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530482097386.png","bowl"
"13","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31528580999095.png","bowl"
"14","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31532119480468.png","bowl"
"15","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530659023821.png","bowl"
"16","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31529092415344.png","bowl"
"17","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31529524328211.png","bowl"
"18","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31528921199246.png","bowl"
"19","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31529187760457.png","bowl"
"20","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31532196800622.png","bowl"
"21","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31531941504435.png","bowl"
"22","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31531340517880.png","bowl"
"23","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31532042260290.png","bowl"
"24","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530478539938.png","bowl"
"25","age4","cdm_run_v31527970199200","bowl_sketch_age4_cdm_run_v31530309361085.png","bowl"
"26","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41550444891547.png","key"
"27","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41542667646129.png","key"
"28","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41543706453159.png","key"
"29","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41544214473613.png","key"
"30","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41550355386396.png","key"
"31","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41542394904664.png","key"
"32","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41546217128344.png","key"
"33","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41544312495311.png","key"
"34","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41539376942239.png","key"
"35","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41550789330337.png","key"
"36","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41544222111305.png","key"
"37","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41545525168287.png","key"
"38","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41544906234657.png","key"
"39","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41544305601009.png","key"
"40","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41550777032351.png","key"
"41","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41547591980188.png","key"
"42","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41542489749925.png","key"
"43","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41542497084289.png","key"
"44","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41546117216648.png","key"
"45","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41546208527248.png","key"
"46","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41548187169760.png","key"
"47","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41546207870431.png","key"
"48","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41541174399584.png","key"
"49","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41541891610637.png","key"
"50","age4","cdm_run_v31527970199200","key_sketch_age4_cdm_run_v41542408681480.png","key"
"51","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41549226824589.png","scissors"
"52","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41545949210286.png","scissors"
"53","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41541195291014.png","scissors"
"54","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41549137630653.png","scissors"
"55","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41546023898485.png","scissors"
"56","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41536958360927.png","scissors"
"57","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41543013150116.png","scissors"
"58","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41545596718655.png","scissors"
"59","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41537566219317.png","scissors"
"60","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41548109916321.png","scissors"
"61","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41548031571476.png","scissors"
"62","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41545938359462.png","scissors"
"63","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41550874228726.png","scissors"
"64","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41539469704607.png","scissors"
"65","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41548105588933.png","scissors"
"66","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41539376942239.png","scissors"
"67","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41546123091990.png","scissors"
"68","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41545334284502.png","scissors"
"69","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41548798430560.png","scissors"
"70","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41541708147779.png","scissors"
"71","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41539964799673.png","scissors"
"72","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41536864789035.png","scissors"
"73","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41546207621039.png","scissors"
"74","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41543016339787.png","scissors"
"75","age4","cdm_run_v31527970199200","scissors_sketch_age4_cdm_run_v41541876612699.png","scissors"
"76","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41545334284502.png","phone"
"77","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41543434168639.png","phone"
"78","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41549748654815.png","phone"
"79","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41541377708430.png","phone"
"80","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41545254541753.png","phone"
"81","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41548110285194.png","phone"
"82","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41549237965507.png","phone"
"83","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41541882997726.png","phone"
"84","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41537651409997.png","phone"
"85","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41542142818937.png","phone"
"86","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41550343339875.png","phone"
"87","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41537562088878.png","phone"
"88","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41547420448258.png","phone"
"89","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41548031571476.png","phone"
"90","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41547852208366.png","phone"
"91","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41546039771558.png","phone"
"92","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41544906234657.png","phone"
"93","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41549150064859.png","phone"
"94","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41548104633266.png","phone"
"95","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41546289735899.png","phone"
"96","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41543089158462.png","phone"
"97","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41548534990373.png","phone"
"98","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41537566219317.png","phone"
"99","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41548971393461.png","phone"
"100","age4","cdm_run_v31527970199200","phone_sketch_age4_cdm_run_v41546122021579.png","phone"
"101","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31531521447859.png","bowl"
"102","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31529269996057.png","bowl"
"103","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31529452799035.png","bowl"
"104","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31532030055524.png","bowl"
"105","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31531341840525.png","bowl"
"106","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31528922999212.png","bowl"
"107","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31528224184593.png","bowl"
"108","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31532122664288.png","bowl"
"109","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31529350799269.png","bowl"
"110","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31529436283949.png","bowl"
"111","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31531607084953.png","bowl"
"112","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31528067999106.png","bowl"
"113","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31532126921035.png","bowl"
"114","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31529527799264.png","bowl"
"115","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31530384361271.png","bowl"
"116","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31529181228558.png","bowl"
"117","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31529692265577.png","bowl"
"118","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31529447248959.png","bowl"
"119","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31528232999187.png","bowl"
"120","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31531953239905.png","bowl"
"121","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31528926779657.png","bowl"
"122","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31528834869549.png","bowl"
"123","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31531944151133.png","bowl"
"124","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31528224599151.png","bowl"
"125","age5","cdm_run_v31527970199200","bowl_sketch_age5_cdm_run_v31529181599174.png","bowl"
"126","age5","cdm_run_v31527970199200","key_sketch_age5_cdm_run_v41545343162708.png","key"
"127","age5","cdm_run_v31527970199200","key_sketch_age5_cdm_run_v41545604035887.png","key"
"128","age5","cdm_run_v31527970199200","key_sketch_age5_cdm_run_v41540162263848.png","key"
"129","age5","cdm_run_v31527970199200","key_sketch_age5_cdm_run_v41545957087283.png","key"
"130","age5","cdm_run_v31527970199200","key_sketch_age5_cdm_run_v41540064769867.png","key"
"131","age5","cdm_run_v31527970199200","key_sketch_age5_cdm_run_v41542586369969.png","key"
"132","age5","cdm_run_v31527970199200","key_sketch_age5_cdm_run_v41545688449397.png","key"
"133","age5","cdm_run_v31527970199200","key_sketch_age5_cdm_run_v41548013550268.png","key"
"134","age5","cdm_run_v31527970199200","key_sketch_age5_cdm_run_v41546199650493.png","key"
"135","age5","cdm_run_v31527970199200","key_sketch_age5_cdm_run_v41542056365807.png","key"
"136","age5","cdm_run_v31527970199200","key_sketch_age5_cdm_run_v41541373348621.png","key"
"137","age5","cdm_run_v31527970199200","key_sketch_age5_cdm_run_v41541970856667.png","key"
"138","age5","cdm_run_v31527970199200","key_sketch_age5_cdm_run_v41547330666861.png","key"
