"","age","sessionId","sketch_img_name","category"
"1","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31533756481420.png","boat"
"2","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31533509680357.png","boat"
"3","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31532714767665.png","boat"
"4","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31534712557845.png","boat"
"5","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31532715129943.png","boat"
"6","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31534628023931.png","boat"
"7","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31533665646277.png","boat"
"8","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31526065527149.png","boat"
"9","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31534279499637.png","boat"
"10","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31534457003877.png","boat"
"11","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31532643410894.png","boat"
"12","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31534801537754.png","boat"
"13","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31532893623593.png","boat"
"14","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31535574225677.png","boat"
"15","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31533501243808.png","boat"
"16","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31532806070697.png","boat"
"17","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31533676898644.png","boat"
"18","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31535740489930.png","boat"
"19","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31535393785775.png","boat"
"20","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31533153135562.png","boat"
"21","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31533929438685.png","boat"
"22","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31533334630848.png","boat"
"23","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31527882194414.png","boat"
"24","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31526167651102.png","boat"
"25","age4","cdm_run_v31526151383057","boat_sketch_age4_cdm_run_v31534198612126.png","boat"
"26","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31526250064091.png","car"
"27","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31535480569999.png","car"
"28","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31533665646277.png","car"
"29","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31526673903441.png","car"
"30","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31526763707135.png","car"
"31","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31532715129943.png","car"
"32","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31533507748485.png","car"
"33","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31533916799721.png","car"
"34","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31533075663881.png","car"
"35","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31534791081013.png","car"
"36","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31526239192649.png","car"
"37","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31533424380615.png","car"
"38","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31533244161520.png","car"
"39","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31533067619622.png","car"
"40","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31535836657888.png","car"
"41","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31533244430816.png","car"
"42","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31533323370032.png","car"
"43","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31533404883967.png","car"
"44","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31532643410894.png","car"
"45","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31534801537754.png","car"
"46","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31534622195685.png","car"
"47","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31533501243808.png","car"
"48","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31526162026170.png","car"
"49","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31535138252650.png","car"
"50","age4","cdm_run_v31526151383057","car_sketch_age4_cdm_run_v31534628023931.png","car"
"51","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41541980982886.png","train"
"52","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41542062654769.png","train"
"53","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41537656198436.png","train"
"54","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41541977171207.png","train"
"55","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41541882997726.png","train"
"56","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41541195291014.png","train"
"57","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41541193373691.png","train"
"58","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41538861393569.png","train"
"59","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41542047958148.png","train"
"60","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41536178424927.png","train"
"61","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41541174399584.png","train"
"62","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41541376096056.png","train"
"63","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41541364480451.png","train"
"64","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41536683678556.png","train"
"65","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41538954679143.png","train"
"66","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41540320464830.png","train"
"67","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41539985570761.png","train"
"68","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41541013771980.png","train"
"69","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41541802235045.png","train"
"70","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41540075430036.png","train"
"71","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41539971036537.png","train"
"72","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41541980591412.png","train"
"73","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41541182991485.png","train"
"74","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41539465783391.png","train"
"75","age4","cdm_run_v31526151383057","train_sketch_age4_cdm_run_v41540147652298.png","train"
"76","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31528135799225.png","airplane"
"77","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31529263799251.png","airplane"
"78","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31528052168660.png","airplane"
"79","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31528843580055.png","airplane"
"80","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31531506812090.png","airplane"
"81","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31530311922480.png","airplane"
"82","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31531609488118.png","airplane"
"83","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31530401539082.png","airplane"
"84","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31531506470981.png","airplane"
"85","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31530478955787.png","airplane"
"86","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31530480400108.png","airplane"
"87","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31531340810170.png","airplane"
"88","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31529092199275.png","airplane"
"89","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31528845599021.png","airplane"
"90","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31528912799246.png","airplane"
"91","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31530478539938.png","airplane"
"92","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31532042124941.png","airplane"
"93","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31530309361085.png","airplane"
"94","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31530744309602.png","airplane"
"95","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31532042260290.png","airplane"
"96","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31528316999098.png","airplane"
"97","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31528580999095.png","airplane"
"98","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31528324990435.png","airplane"
"99","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31528921199246.png","airplane"
"100","age4","cdm_run_v31526151383057","airplane_sketch_age4_cdm_run_v31530482097386.png","airplane"
"101","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31534115055932.png","boat"
"102","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31533063333125.png","boat"
"103","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31526766142852.png","boat"
"104","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31534618697014.png","boat"
"105","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31534282133145.png","boat"
"106","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31526766453659.png","boat"
"107","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31526157427450.png","boat"
"108","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31534621366270.png","boat"
"109","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31526254092272.png","boat"
"110","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31534878767073.png","boat"
"111","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31533942727083.png","boat"
"112","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31534448210635.png","boat"
"113","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31534109653532.png","boat"
"114","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31534023554835.png","boat"
"115","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31536015899873.png","boat"
"116","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31532553043342.png","boat"
"117","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31534268537168.png","boat"
"118","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31534615862265.png","boat"
"119","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31534534946282.png","boat"
"120","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31534202459269.png","boat"
"121","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31533671982464.png","boat"
"122","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31532637678672.png","boat"
"123","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31534445290775.png","boat"
"124","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31532472921086.png","boat"
"125","age5","cdm_run_v31526151383057","boat_sketch_age5_cdm_run_v31535927005519.png","boat"
"126","age5","cdm_run_v31526151383057","car_sketch_age5_cdm_run_v31532468496401.png","car"
"127","age5","cdm_run_v31526151383057","car_sketch_age5_cdm_run_v31534115334473.png","car"
"128","age5","cdm_run_v31526151383057","car_sketch_age5_cdm_run_v31534268537168.png","car"
