,carrot,chair,ice cream,banana,car,flower,frog,rabbit,train,boat,couch,cup,foot,phone,shoe
carrot,1.00E+00,1.71E-01,9.26E-02,3.30E-01,-2.62E-01,-1.38E-01,-2.49E-02,-2.49E-01,-4.29E-01,4.70E-02,-3.58E-02,-1.39E-02,1.82E-01,1.03E-02,-3.75E-02
chair,1.71E-01,1.00E+00,-1.34E-01,-2.83E-01,-4.21E-01,-2.23E-01,1.73E-02,-2.65E-01,-1.48E-01,-1.30E-01,8.64E-02,8.94E-02,1.34E-01,1.21E-01,-2.02E-01
ice cream,9.26E-02,-1.34E-01,1.00E+00,2.62E-01,-2.02E-01,-1.08E-02,-2.48E-01,-8.72E-02,-2.96E-01,3.49E-01,-2.77E-02,3.72E-02,-1.74E-01,4.60E-02,-3.57E-01
banana,3.30E-01,-2.83E-01,2.62E-01,1.00E+00,3.65E-02,-4.03E-03,-1.82E-01,-8.69E-02,-4.60E-01,1.93E-01,-1.47E-01,-8.91E-02,2.75E-02,-1.82E-01,9.71E-02
car,-2.62E-01,-4.21E-01,-2.02E-01,3.65E-02,1.00E+00,-1.52E-02,-8.93E-02,1.17E-01,2.02E-01,-1.90E-02,-2.15E-01,-1.25E-01,-2.52E-01,-2.74E-01,2.00E-01
flower,-1.38E-01,-2.23E-01,-1.08E-02,-4.03E-03,-1.52E-02,1.00E+00,2.33E-01,4.13E-01,-3.82E-02,-2.76E-01,-9.99E-02,-3.05E-01,-6.59E-02,-2.51E-01,-2.20E-02
frog,-2.49E-02,1.73E-02,-2.48E-01,-1.82E-01,-8.93E-02,2.33E-01,1.00E+00,2.57E-01,5.26E-02,-3.75E-01,-1.03E-01,-2.53E-01,3.41E-03,-1.71E-01,-1.36E-02
rabbit,-2.49E-01,-2.65E-01,-8.72E-02,-8.69E-02,1.17E-01,4.13E-01,2.57E-01,1.00E+00,1.43E-01,-3.45E-01,-2.99E-01,-4.21E-01,-2.08E-01,-3.13E-01,5.75E-02
train,-4.29E-01,-1.48E-01,-2.96E-01,-4.60E-01,2.02E-01,-3.82E-02,5.26E-02,1.43E-01,1.00E+00,-2.41E-01,-1.11E-01,-1.59E-01,-2.69E-01,-8.53E-02,-3.13E-03
boat,4.70E-02,-1.30E-01,3.49E-01,1.93E-01,-1.90E-02,-2.76E-01,-3.75E-01,-3.45E-01,-2.41E-01,1.00E+00,7.40E-04,2.62E-01,-1.90E-01,1.23E-01,-3.24E-01
couch,-3.58E-02,8.64E-02,-2.77E-02,-1.47E-01,-2.15E-01,-9.99E-02,-1.03E-01,-2.99E-01,-1.11E-01,7.40E-04,1.00E+00,9.15E-02,4.38E-02,-1.81E-02,-8.03E-02
cup,-1.39E-02,8.94E-02,3.72E-02,-8.91E-02,-1.25E-01,-3.05E-01,-2.53E-01,-4.21E-01,-1.59E-01,2.62E-01,9.15E-02,1.00E+00,-1.23E-02,2.72E-01,-1.30E-01
foot,1.82E-01,1.34E-01,-1.74E-01,2.75E-02,-2.52E-01,-6.59E-02,3.41E-03,-2.08E-01,-2.69E-01,-1.90E-01,4.38E-02,-1.23E-02,1.00E+00,9.56E-02,9.62E-02
phone,1.03E-02,1.21E-01,4.60E-02,-1.82E-01,-2.74E-01,-2.51E-01,-1.71E-01,-3.13E-01,-8.53E-02,1.23E-01,-1.81E-02,2.72E-01,9.56E-02,1.00E+00,-1.74E-01
shoe,-3.75E-02,-2.02E-01,-3.57E-01,9.71E-02,2.00E-01,-2.20E-02,-1.36E-02,5.75E-02,-3.13E-03,-3.24E-01,-8.03E-02,-1.30E-01,9.62E-02,-1.74E-01,1.00E+00
